KANKASANTURAI,0,20130107,9.48,80.04
JAFFNA,79.3,20130107,9.68,80.03
MULLAITTIVU,0,20130107,9.16,80.49
MANNAR,22.8,20130107,8.98,79.92
VAVUNIYA,33.6,20130107,8.75,80.5
TRINCOMALEE,0,20130107,8.58,81.25
ANURADHAPURA,145.4,20130107,8.35,80.38
MAHA ILLUPPALLAMA,58.8,20130107,8.12,80.47
PUTTALAM,20.2,20130107,8.03,79.83
BATTICALOA,42.4,20130107,7.72,81.7
KURUNEGALA,65.4,20130107,7.47,80.37
KANDY,47,20130107,7.2,80.38
COLOMBO,19.3,20130107,6.93,79.85
RATMALANA,17.7,20130107,6.82,79.88
NUWARA ELIYA,70.4,20130107,6.96,80.76
POTTUVIL,0,20130107,6.88,81.83
BANDARAWELA,73.8,20130107,6.82,80.99
BADULLA,98.3,20130107,6.98,81.05
RATNAPURA,30.3,20130107,6.68,80.4
GALLE,19.3,20130107,6.03,80.22
HAMBANTOTA,23.1,20130107,6.12,81.13
