KANKASANTURAI,0,20130106,9.48,80.04
JAFFNA,0,20130106,9.68,80.03
MULLAITTIVU,0,20130106,9.16,80.49
MANNAR,0,20130106,8.98,79.92
VAVUNIYA,0,20130106,8.75,80.5
TRINCOMALEE,1.4,20130106,8.58,81.25
ANURADHAPURA,0,20130106,8.35,80.38
MAHA ILLUPPALLAMA,0.1,20130106,8.12,80.47
PUTTALAM,0,20130106,8.03,79.83
BATTICALOA,119,20130106,7.72,81.7
KURUNEGALA,7.7,20130106,7.47,80.37
KANDY,4,20130106,7.2,80.38
COLOMBO,0.3,20130106,6.93,79.85
RATMALANA,0.7,20130106,6.82,79.88
NUWARA ELIYA,7.6,20130106,6.96,80.76
POTTUVIL,0,20130106,6.88,81.83
BANDARAWELA,9.8,20130106,6.82,80.99
BADULLA,2.7,20130106,6.98,81.05
RATNAPURA,2.4,20130106,6.68,80.4
GALLE,0.1,20130106,6.03,80.22
HAMBANTOTA,0.5,20130106,6.12,81.13
