KANKASANTURAI,0,20130104,9.48,80.04
JAFFNA,0,20130104,9.68,80.03
MULLAITTIVU,0,20130104,9.16,80.49
MANNAR,0,20130104,8.98,79.92
VAVUNIYA,0.1,20130104,8.75,80.5
TRINCOMALEE,0.6,20130104,8.58,81.25
ANURADHAPURA,0,20130104,8.35,80.38
MAHA ILLUPPALLAMA,0,20130104,8.12,80.47
PUTTALAM,0,20130104,8.03,79.83
BATTICALOA,17.9,20130104,7.72,81.7
KURUNEGALA,1.2,20130104,7.47,80.37
KANDY,7.8,20130104,7.2,80.38
COLOMBO,1.9,20130104,6.93,79.85
RATMALANA,0.8,20130104,6.82,79.88
NUWARA ELIYA,9.7,20130104,6.96,80.76
POTTUVIL,0,20130104,6.88,81.83
BANDARAWELA,16.6,20130104,6.82,80.99
BADULLA,29.7,20130104,6.98,81.05
RATNAPURA,10.7,20130104,6.68,80.4
GALLE,1.6,20130104,6.03,80.22
HAMBANTOTA,10.1,20130104,6.12,81.13
