mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,Addalaiche,20130707,27,1,259,20130707
29,Agalawatta,20130707,27,2,29,20130707
45,Akkaraipattu,20130707,27,0,45,20130707
183,Akmeemana,20130707,27,0,183,20130707
226,Akurana,20130707,27,2,226,20130707
77,Akuressa,20130707,27,0,77,20130707
44,Alaiyadivembu,20130707,27,0,44,20130707
213,Alawwa,20130707,27,4,213,20130707
90,Ambagamuwa,20130707,27,0,90,20130707
14,Ambalangoda,20130707,27,0,14,20130707
79,Ambalantota,20130707,27,0,79,20130707
132,Ambanganga,20130707,27,0,132,20130707
224,Ambanpola,20130707,27,0,224,20130707
51,Ampara,20130707,27,3,51,20130707
228,Anamaduwa,20130707,27,0,228,20130707
159,Angunakolapalessa,20130707,27,1,159,20130707
61,Anuradhapu,20130707,27,2,61,20130707
255,Arachchikattuwa,20130707,27,0,255,20130707
205,Aranayaka,20130707,27,3,205,20130707
47,Arayampathy,20130707,27,0,47,20130707
146,Attanagalla,20130707,27,3,146,20130707
6,Aturaliya,20130707,27,0,6,20130707
144,Ayagama,20130707,27,3,144,20130707
253,Badalkumbura,20130707,27,0,253,20130707
200,Baddegama,20130707,27,2,200,20130707
280,Badulla,20130707,27,3,280,20130707
240,Balangoda,20130707,27,1,240,20130707
251,Balapitiya,20130707,27,2,251,20130707
204,Bambaradeniya,20130707,27,5,204,20130707
194,Bamuna,20130707,27,0,194,20130707
2,Bandaragama,20130707,27,2,2,20130707
168,Bandarawela,20130707,27,0,168,20130707
134,Batticaloa,20130707,27,2,134,20130707
232,Beliatta,20130707,27,1,232,20130707
18,Beruwala(North),20130707,27,6,18,20130707
50,Bibile,20130707,27,0,50,20130707
199,Bingiriya,20130707,27,2,199,20130707
3,Biyagama,20130707,27,7,3,20130707
241,Bogawanthalawa,20130707,27,0,241,20130707
230,Bope-(Podd,20130707,27,4,230,20130707
298,Boralesgamuwa,20130707,27,4,298,20130707
265,Bulathkohupitiya,20130707,27,1,265,20130707
314,Bulathsinhala,20130707,27,2,314,20130707
23,Buttala,20130707,27,0,23,20130707
262,Chankanai,20130707,27,0,262,20130707
37,Chavakachcheri,20130707,27,0,37,20130707
177,Cheddikulam,20130707,27,0,177,20130707
12,Chenkaladi,20130707,27,0,12,20130707
153,Chilaw,20130707,27,2,153,20130707
49,Damana,20130707,27,0,49,20130707
180,Dambulla,20130707,27,0,180,20130707
284,Dankotuwa,20130707,27,2,284,20130707
133,Dehiattakandiya,20130707,27,1,133,20130707
71,Dehiowita,20130707,27,6,71,20130707
173,Dehiwala,20130707,27,31,173,20130707
267,Deraniyagala,20130707,27,0,267,20130707
289,Devinuwara,20130707,27,2,289,20130707
248,Dikwella,20130707,27,1,248,20130707
147,Dimbulagal,20130707,27,1,147,20130707
222,Divitura/W,20130707,27,0,222,20130707
140,Dodamgoda,20130707,27,0,140,20130707
89,Doluwa,20130707,27,2,89,20130707
216,Dompe,20130707,27,4,216,20130707
