mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,Addalaiche,20130623,25,0,259,20130623
29,Agalawatta,20130623,25,2,29,20130623
45,Akkaraipattu,20130623,25,0,45,20130623
183,Akmeemana,20130623,25,3,183,20130623
226,Akurana,20130623,25,0,226,20130623
77,Akuressa,20130623,25,0,77,20130623
44,Alaiyadivembu,20130623,25,0,44,20130623
213,Alawwa,20130623,25,3,213,20130623
90,Ambagamuwa,20130623,25,0,90,20130623
14,Ambalangoda,20130623,25,0,14,20130623
79,Ambalantota,20130623,25,0,79,20130623
132,Ambanganga,20130623,25,0,132,20130623
224,Ambanpola,20130623,25,1,224,20130623
51,Ampara,20130623,25,1,51,20130623
228,Anamaduwa,20130623,25,0,228,20130623
159,Angunakolapalessa,20130623,25,0,159,20130623
61,Anuradhapu,20130623,25,0,61,20130623
255,Arachchikattuwa,20130623,25,1,255,20130623
205,Aranayaka,20130623,25,1,205,20130623
47,Arayampathy,20130623,25,5,47,20130623
146,Attanagalla,20130623,25,0,146,20130623
6,Aturaliya,20130623,25,0,6,20130623
144,Ayagama,20130623,25,4,144,20130623
253,Badalkumbura,20130623,25,0,253,20130623
200,Baddegama,20130623,25,3,200,20130623
280,Badulla,20130623,25,4,280,20130623
240,Balangoda,20130623,25,0,240,20130623
251,Balapitiya,20130623,25,2,251,20130623
204,Bambaradeniya,20130623,25,8,204,20130623
194,Bamuna,20130623,25,0,194,20130623
2,Bandaragama,20130623,25,2,2,20130623
168,Bandarawela,20130623,25,0,168,20130623
134,Batticaloa,20130623,25,5,134,20130623
232,Beliatta,20130623,25,0,232,20130623
18,Beruwala(North),20130623,25,5,18,20130623
50,Bibile,20130623,25,0,50,20130623
199,Bingiriya,20130623,25,0,199,20130623
3,Biyagama,20130623,25,5,3,20130623
241,Bogawanthalawa,20130623,25,0,241,20130623
230,Bope-(Podd,20130623,25,1,230,20130623
298,Boralesgamuwa,20130623,25,3,298,20130623
265,Bulathkohupitiya,20130623,25,1,265,20130623
314,Bulathsinhala,20130623,25,1,314,20130623
23,Buttala,20130623,25,1,23,20130623
262,Chankanai,20130623,25,0,262,20130623
37,Chavakachcheri,20130623,25,2,37,20130623
177,Cheddikulam,20130623,25,0,177,20130623
12,Chenkaladi,20130623,25,0,12,20130623
153,Chilaw,20130623,25,3,153,20130623
49,Damana,20130623,25,0,49,20130623
180,Dambulla,20130623,25,0,180,20130623
284,Dankotuwa,20130623,25,2,284,20130623
133,Dehiattakandiya,20130623,25,5,133,20130623
71,Dehiowita,20130623,25,3,71,20130623
173,Dehiwala,20130623,25,30,173,20130623
267,Deraniyagala,20130623,25,0,267,20130623
289,Devinuwara,20130623,25,2,289,20130623
248,Dikwella,20130623,25,1,248,20130623
147,Dimbulagal,20130623,25,1,147,20130623
222,Divitura/W,20130623,25,0,222,20130623
140,Dodamgoda,20130623,25,0,140,20130623
89,Doluwa,20130623,25,2,89,20130623
216,Dompe,20130623,25,5,216,20130623
119,Duvilipitiya,20130623,25,3,119,20130623
229,Eheliyagoda,20130623,25,3,229,20130623
157,Elahera,20130623,25,0,157,20130623
143,Elapatha,20130623,25,5,143,20130623
169,Ella,20130623,25,0,169,20130623
221,Elpitiya,20130623,25,9,221,20130623
264,Embilipitiya,20130623,25,3,264,20130623
106,Eravoor,20130623,25,1,106,20130623
283,Galagedara,20130623,25,0,283,20130623
91,Galaha,20130623,25,0,91,20130623
268,Galenbindunuwewa,20130623,25,0,268,20130623
167,Galewela,20130623,25,0,167,20130623
107,Galgamuwa,20130623,25,0,107,20130623
212,Galigamuwa,20130623,25,1,212,20130623
15,Galnewa,20130623,25,1,15,20130623
189,Gampaha,20130623,25,5,189,20130623
165,Gampola(Ud,20130623,25,6,165,20130623
72,Ganewatta,20130623,25,2,72,20130623
100,Gangawatakorale,20130623,25,1,100,20130623
56,Girandurukotte,20130623,25,2,56,20130623
286,Giribawa,20130623,25,0,286,20130623
174,Godakawela,20130623,25,1,174,20130623
31,Gomarankadawala,20130623,25,0,31,20130623
43,Gonapinuwala,20130623,25,0,43,20130623
182,Habaraduwa,20130623,25,2,182,20130623
192,Hakmana,20130623,25,0,192,20130623
148,Haldummull,20130623,25,0,148,20130623
116,Hali-Ela,20130623,25,0,116,20130623
80,Hambantota,20130623,25,0,80,20130623
275,Hanguranketha,20130623,25,1,275,20130623
278,Hanwella,20130623,25,3,278,20130623
149,Haputale,20130623,25,0,149,20130623
84,Hasalaka(M,20130623,25,1,84,20130623
282,Hataraliyadda,20130623,25,1,282,20130623
42,Hikkaduwa,20130623,25,2,42,20130623
190,Hingurakgoda,20130623,25,1,190,20130623
101,Homagama,20130623,25,3,101,20130623
163,Horana,20130623,25,4,163,20130623
102,Horowpatha,20130623,25,0,102,20130623
276,Ibbagamuwa,20130623,25,4,276,20130623
76,Imaduwa,20130623,25,0,76,20130623
239,Imbulpe,20130623,25,1,239,20130623
67,Induruwa,20130623,25,3,67,20130623
292,Ingiriya,20130623,25,2,292,20130623
16,Ipalogama,20130623,25,0,16,20130623
296,Irakkamam,20130623,25,0,296,20130623
65,Ja ela,20130623,25,2,65,20130623
4,Kaduwela,20130623,25,16,4,20130623
104,Kahatagasd,20130623,25,0,104,20130623
175,Kahawaththa,20130623,25,2,175,20130623
141,Kalawana,20130623,25,0,141,20130623
260,Kalmunai,20130623,25,0,260,20130623
7,Kalpitiya,20130623,25,6,7,20130623
1,Kalutara(North),20130623,25,2,1,20130623
238,Kaluvanchikudi,20130623,25,2,238,20130623
171,Kamburupitiya,20130623,25,0,171,20130623
92,Kandaketiy,20130623,25,0,92,20130623
110,Kandavalai,20130623,25,0,110,20130623
294,Kantale,20130623,25,0,294,20130623
263,Karaitvu,20130623,25,0,263,20130623
223,Karandeniya,20130623,25,4,223,20130623
36,Karaveddy,20130623,25,1,36,20130623
9,Karuwalaga,20130623,25,0,9,20130623
105,Katana,20130623,25,3,105,20130623
234,Kataragama,20130623,25,0,234,20130623
46,Kattankudy,20130623,25,1,46,20130623
96,Katuwana,20130623,25,0,96,20130623
279,Kayts,20130623,25,1,279,20130623
103,Kebithigol,20130623,25,0,103,20130623
242,Kegalle,20130623,25,2,242,20130623
246,Kekirawa(P,20130623,25,1,246,20130623
41,Kelaniya,20130623,25,4,41,20130623
203,Kilinochchi,20130623,25,1,203,20130623
256,Kinniya,20130623,25,0,256,20130623
11,Kiran,20130623,25,1,11,20130623
293,Kiriella,20130623,25,0,293,20130623
249,Kirinda-Puhulwella,20130623,25,0,249,20130623
258,Kobeigane,20130623,25,0,258,20130623
70,Kollonnawa,20130623,25,30,70,20130623
197,Kolonna,20130623,25,1,197,20130623
35,Kopay,20130623,25,0,35,20130623
40,Kotagala,20130623,25,0,40,20130623
137,Kotapola,20130623,25,2,137,20130623
48,Kotavehara,20130623,25,0,48,20130623
38,Kothmale,20130623,25,0,38,20130623
218,Kotte,20130623,25,2,218,20130623
32,Kuchchaveli,20130623,25,0,32,20130623
247,Kuliyapitiya,20130623,25,3,247,20130623
277,Kundasale,20130623,25,1,277,20130623
307,Kurunduwatta,20130623,25,2,307,20130623
207,Kurunegala,20130623,25,0,207,20130623
271,Kuruwita,20130623,25,6,271,20130623
85,Laggala-(pallegama),20130623,25,0,85,20130623
98,Lahugala,20130623,25,0,98,20130623
187,Lankapura,20130623,25,0,187,20130623
313,Lindula(Th,20130623,25,0,313,20130623
188,Lunugala,20130623,25,1,188,20130623
128,Lunugamvehera,20130623,25,2,128,20130623
59,Madhu,20130623,25,0,59,20130623
139,Madurawala,20130623,25,0,139,20130623
54,Maha-Oya,20130623,25,0,54,20130623
112,Mahara,20130623,25,3,112,20130623
33,Maharagama,20130623,25,6,33,20130623
290,Mahawewa,20130623,25,1,290,20130623
55,Mahiyangan,20130623,25,0,55,20130623
243,Maho,20130623,25,0,243,20130623
5,Malimboda,20130623,25,1,5,20130623
312,Mallawapitiya,20130623,25,3,312,20130623
301,Manikhinna,20130623,25,1,301,20130623
154,Mannar,20130623,25,0,154,20130623
306,Marawila,20130623,25,0,306,20130623
272,Maskeliya,20130623,25,0,272,20130623
123,Matale,20130623,25,1,123,20130623
125,Mathurata,20130623,25,0,125,20130623
68,Matugama,20130623,25,3,68,20130623
206,Mawanella,20130623,25,2,206,20130623
270,Mawathagama,20130623,25,2,270,20130623
69,MC - Colombo,20130623,25,77,69,20130623
58,MC - Dambulla,20130623,25,0,58,20130623
299,MC- Negambo,20130623,25,5,299,20130623
162,MC-Galle,20130623,25,4,162,20130623
185,MC-Jaffna,20130623,25,1,185,20130623
99,MC-Kandy,20130623,25,9,99,20130623
295,MC-Kurunegala,20130623,25,3,295,20130623
25,MC-Matale,20130623,25,3,25,20130623
288,MC-Matara,20130623,25,3,288,20130623
124,MC-Nuwaraeliya,20130623,25,0,124,20130623
315,Medadumbara,20130623,25,0,315,20130623
274,Medagama,20130623,25,0,274,20130623
236,Medawachch,20130623,25,0,236,20130623
217,Medirigiriya,20130623,25,2,217,20130623
118,Meegahakiv,20130623,25,0,118,20130623
131,Meerigama,20130623,25,3,131,20130623
181,Mihintale,20130623,25,2,181,20130623
120,Minuwangoda,20130623,25,6,120,20130623
