mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,Addalaiche,20130818,33,0,259,20130818
29,Agalawatta,20130818,33,1,29,20130818
45,Akkaraipattu,20130818,33,0,45,20130818
183,Akmeemana,20130818,33,1,183,20130818
226,Akurana,20130818,33,3,226,20130818
77,Akuressa,20130818,33,0,77,20130818
44,Alaiyadivembu,20130818,33,0,44,20130818
213,Alawwa,20130818,33,1,213,20130818
90,Ambagamuwa,20130818,33,0,90,20130818
14,Ambalangoda,20130818,33,0,14,20130818
79,Ambalantota,20130818,33,2,79,20130818
132,Ambanganga,20130818,33,0,132,20130818
224,Ambanpola,20130818,33,0,224,20130818
51,Ampara,20130818,33,0,51,20130818
228,Anamaduwa,20130818,33,0,228,20130818
159,Angunakolapalessa,20130818,33,3,159,20130818
61,Anuradhapu,20130818,33,1,61,20130818
255,Arachchikattuwa,20130818,33,0,255,20130818
205,Aranayaka,20130818,33,0,205,20130818
47,Arayampathy,20130818,33,0,47,20130818
146,Attanagalla,20130818,33,7,146,20130818
6,Aturaliya,20130818,33,0,6,20130818
144,Ayagama,20130818,33,1,144,20130818
253,Badalkumbura,20130818,33,0,253,20130818
200,Baddegama,20130818,33,2,200,20130818
280,Badulla,20130818,33,6,280,20130818
240,Balangoda,20130818,33,0,240,20130818
251,Balapitiya,20130818,33,0,251,20130818
204,Bambaradeniya,20130818,33,7,204,20130818
194,Bamuna,20130818,33,1,194,20130818
2,Bandaragama,20130818,33,1,2,20130818
168,Bandarawela,20130818,33,0,168,20130818
134,Batticaloa,20130818,33,2,134,20130818
232,Beliatta,20130818,33,0,232,20130818
18,Beruwala(North),20130818,33,5,18,20130818
50,Bibile,20130818,33,0,50,20130818
199,Bingiriya,20130818,33,2,199,20130818
3,Biyagama,20130818,33,7,3,20130818
241,Bogawanthalawa,20130818,33,0,241,20130818
230,Bope-(Podd,20130818,33,0,230,20130818
298,Boralesgamuwa,20130818,33,14,298,20130818
265,Bulathkohupitiya,20130818,33,1,265,20130818
314,Bulathsinhala,20130818,33,1,314,20130818
23,Buttala,20130818,33,1,23,20130818
262,Chankanai,20130818,33,0,262,20130818
37,Chavakachcheri,20130818,33,2,37,20130818
177,Cheddikulam,20130818,33,0,177,20130818
12,Chenkaladi,20130818,33,2,12,20130818
