mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,Addalaiche,20130414,15,3,259,20130414
29,Agalawatta,20130414,15,2,29,20130414
45,Akkaraipattu,20130414,15,7,45,20130414
183,Akmeemana,20130414,15,0,183,20130414
226,Akurana,20130414,15,0,226,20130414
77,Akuressa,20130414,15,0,77,20130414
44,Alaiyadivembu,20130414,15,0,44,20130414
213,Alawwa,20130414,15,6,213,20130414
90,Ambagamuwa,20130414,15,1,90,20130414
14,Ambalangoda,20130414,15,4,14,20130414
79,Ambalantota,20130414,15,0,79,20130414
132,Ambanganga,20130414,15,0,132,20130414
224,Ambanpola,20130414,15,0,224,20130414
51,Ampara,20130414,15,1,51,20130414
228,Anamaduwa,20130414,15,0,228,20130414
159,Angunakolapalessa,20130414,15,1,159,20130414
61,Anuradhapu,20130414,15,3,61,20130414
255,Arachchikattuwa,20130414,15,1,255,20130414
205,Aranayaka,20130414,15,3,205,20130414
47,Arayampathy,20130414,15,0,47,20130414
146,Attanagalla,20130414,15,10,146,20130414
6,Aturaliya,20130414,15,0,6,20130414
144,Ayagama,20130414,15,1,144,20130414
253,Badalkumbura,20130414,15,0,253,20130414
200,Baddegama,20130414,15,1,200,20130414
280,Badulla,20130414,15,1,280,20130414
240,Balangoda,20130414,15,0,240,20130414
251,Balapitiya,20130414,15,0,251,20130414
204,Bambaradeniya,20130414,15,0,204,20130414
194,Bamuna,20130414,15,0,194,20130414
2,Bandaragama,20130414,15,6,2,20130414
168,Bandarawela,20130414,15,3,168,20130414
134,Batticaloa,20130414,15,1,134,20130414
232,Beliatta,20130414,15,0,232,20130414
18,Beruwala(North),20130414,15,1,18,20130414
50,Bibile,20130414,15,0,50,20130414
199,Bingiriya,20130414,15,1,199,20130414
3,Biyagama,20130414,15,0,3,20130414
241,Bogawanthalawa,20130414,15,0,241,20130414
230,Bope-(Podd,20130414,15,0,230,20130414
298,Boralesgamuwa,20130414,15,2,298,20130414
265,Bulathkohupitiya,20130414,15,1,265,20130414
314,Bulathsinhala,20130414,15,0,314,20130414
23,Buttala,20130414,15,0,23,20130414
262,Chankanai,20130414,15,0,262,20130414
37,Chavakachcheri,20130414,15,0,37,20130414
177,Cheddikulam,20130414,15,0,177,20130414
12,Chenkaladi,20130414,15,0,12,20130414
153,Chilaw,20130414,15,5,153,20130414
49,Damana,20130414,15,1,49,20130414
180,Dambulla,20130414,15,0,180,20130414
284,Dankotuwa,20130414,15,2,284,20130414
133,Dehiattakandiya,20130414,15,0,133,20130414
71,Dehiowita,20130414,15,2,71,20130414
173,Dehiwala,20130414,15,11,173,20130414
267,Deraniyagala,20130414,15,2,267,20130414
289,Devinuwara,20130414,15,0,289,20130414
248,Dikwella,20130414,15,0,248,20130414
147,Dimbulagal,20130414,15,0,147,20130414
222,Divitura/W,20130414,15,0,222,20130414
140,Dodamgoda,20130414,15,1,140,20130414
89,Doluwa,20130414,15,1,89,20130414
216,Dompe,20130414,15,1,216,20130414
119,Duvilipitiya,20130414,15,0,119,20130414
229,Eheliyagoda,20130414,15,0,229,20130414
157,Elahera,20130414,15,1,157,20130414
