mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
256,Kinniya,20130908,36,0,256,20130908
11,Kiran,20130908,36,1,11,20130908
293,Kiriella,20130908,36,0,293,20130908
249,Kirinda-Puhulwella,20130908,36,0,249,20130908
258,Kobeigane,20130908,36,0,258,20130908
70,Kollonnawa,20130908,36,38,70,20130908
197,Kolonna,20130908,36,0,197,20130908
35,Kopay,20130908,36,0,35,20130908
40,Kotagala,20130908,36,0,40,20130908
137,Kotapola,20130908,36,1,137,20130908
48,Kotavehara,20130908,36,0,48,20130908
38,Kothmale,20130908,36,0,38,20130908
218,Kotte,20130908,36,5,218,20130908
32,Kuchchaveli,20130908,36,0,32,20130908
247,Kuliyapitiya,20130908,36,2,247,20130908
277,Kundasale,20130908,36,0,277,20130908
307,Kurunduwatta,20130908,36,2,307,20130908
207,Kurunegala,20130908,36,0,207,20130908
271,Kuruwita,20130908,36,0,271,20130908
85,Laggala-(pallegama),20130908,36,0,85,20130908
98,Lahugala,20130908,36,0,98,20130908
187,Lankapura,20130908,36,0,187,20130908
313,Lindula(Th,20130908,36,0,313,20130908
188,Lunugala,20130908,36,0,188,20130908
128,Lunugamvehera,20130908,36,0,128,20130908
59,Madhu,20130908,36,0,59,20130908
139,Madurawala,20130908,36,1,139,20130908
54,Maha-Oya,20130908,36,0,54,20130908
112,Mahara,20130908,36,6,112,20130908
33,Maharagama,20130908,36,6,33,20130908
290,Mahawewa,20130908,36,1,290,20130908
55,Mahiyangan,20130908,36,0,55,20130908
243,Maho,20130908,36,0,243,20130908
5,Malimboda,20130908,36,0,5,20130908
312,Mallawapitiya,20130908,36,3,312,20130908
301,Manikhinna,20130908,36,0,301,20130908
154,Mannar,20130908,36,1,154,20130908
306,Marawila,20130908,36,0,306,20130908
272,Maskeliya,20130908,36,0,272,20130908
123,Matale,20130908,36,0,123,20130908
125,Mathurata,20130908,36,0,125,20130908
68,Matugama,20130908,36,1,68,20130908
206,Mawanella,20130908,36,2,206,20130908
270,Mawathagama,20130908,36,2,270,20130908
69,MC - Colombo,20130908,36,61,69,20130908
58,MC - Dambulla,20130908,36,0,58,20130908
299,MC- Negambo,20130908,36,13,299,20130908
162,MC-Galle,20130908,36,3,162,20130908
185,MC-Jaffna,20130908,36,1,185,20130908
99,MC-Kandy,20130908,36,7,99,20130908
295,MC-Kurunegala,20130908,36,0,295,20130908
25,MC-Matale,20130908,36,2,25,20130908
288,MC-Matara,20130908,36,1,288,20130908
124,MC-Nuwaraeliya,20130908,36,0,124,20130908
315,Medadumbara,20130908,36,0,315,20130908
274,Medagama,20130908,36,0,274,20130908
236,Medawachch,20130908,36,0,236,20130908
217,Medirigiriya,20130908,36,1,217,20130908
118,Meegahakiv,20130908,36,0,118,20130908
131,Meerigama,20130908,36,5,131,20130908
181,Mihintale,20130908,36,0,181,20130908
120,Minuwangoda,20130908,36,1,120,20130908
130,Monaragala,20130908,36,3,130,20130908
254,Moratuwa,20130908,36,27,254,20130908
136,Morawaka,20130908,36,2,136,20130908
170,Mulatiyana,20130908,36,1,170,20130908
231,Mullativu,20130908,36,1,231,20130908
310,Mundel,20130908,36,2,310,20130908
215,Musali,20130908,36,0,215,20130908
13,Mutur,20130908,36,0,13,20130908
186,Nallur,20130908,36,0,186,20130908
250,Narammala,20130908,36,0,250,20130908
285,Nattandiya,20130908,36,0,285,20130908
156,Naula,20130908,36,0,156,20130908
261,Navithanve,20130908,36,0,261,20130908
39,Nawalapitiya,20130908,36,1,39,20130908
