"moh_id","moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
224,"Ambanpola",1,1,1,0,6,0,0,3,1,1,2,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
51,"Ampara",1,0,0,0,1,2,1,2,1,3,1,0,3,0,1,1,1,0,0,1,2,2,0,2,1,2,3,0,4,0,2,0,0,3,0,1,2,1,2,3,0,0,0,1,4,1,0,0,1,1,5,5,67
228,"Anamaduwa",1,2,2,3,2,0,1,2,1,0,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,1,32
159,"Angunakolapalessa",1,0,2,0,1,0,1,0,1,2,2,0,0,2,1,1,1,1,4,0,0,0,0,2,0,0,1,0,1,2,1,1,3,0,0,0,2,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,39
61,"Anuradhapu",3,12,4,1,4,4,3,8,9,7,3,9,2,2,3,0,5,3,1,0,3,0,1,0,0,1,2,0,0,1,0,1,1,0,1,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,5,108
255,"Arachchikattuwa",0,3,5,0,2,2,2,6,2,0,1,0,0,1,1,3,2,0,0,0,2,2,0,1,1,0,0,1,3,0,2,3,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,2,0,54
205,"Aranayaka",9,1,1,12,0,2,1,2,2,4,4,2,0,4,3,1,2,0,3,4,1,3,0,3,1,3,3,1,3,8,1,4,0,0,1,2,2,0,3,0,7,5,6,4,2,0,3,3,1,4,0,2,133
47,"Arayampathy",2,0,0,0,2,0,0,3,1,0,2,2,1,2,0,0,0,0,1,0,0,1,0,1,5,0,0,1,0,5,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33
146,"Attanagalla",19,13,11,5,2,9,1,8,4,1,5,5,6,1,10,7,2,3,13,9,5,2,6,3,0,8,3,14,14,6,9,3,7,0,9,2,6,8,7,5,1,4,9,3,3,12,4,6,3,4,5,5,310
6,"Aturaliya",0,0,1,3,0,0,0,0,3,2,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,2,0,28
144,"Ayagama",1,0,2,0,0,0,2,1,2,2,0,1,1,4,1,3,8,8,12,5,2,10,1,4,4,0,3,5,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89
253,"Badalkumbura",0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,2,0,0,16
200,"Baddegama",0,0,0,0,6,1,0,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,2,3,0,2,1,0,2,3,0,2,0,1,0,0,0,0,1,0,0,0,0,2,0,3,2,3,0,3,1,46
280,"Badulla",0,0,1,5,9,3,7,10,2,6,0,1,3,1,1,6,5,8,2,3,1,7,4,3,4,5,3,8,6,6,2,3,6,1,3,3,3,2,5,1,1,1,0,1,0,1,1,0,1,0,1,0,156
240,"Balangoda",0,2,0,2,3,1,6,3,3,1,3,3,0,5,0,1,0,0,2,0,0,1,2,2,0,0,1,1,0,0,0,2,0,1,0,1,2,0,0,1,1,1,6,0,1,3,2,1,0,0,1,3,68
251,"Balapitiya",1,0,2,0,2,2,2,1,0,0,2,0,0,1,0,0,0,2,1,1,1,0,0,1,2,1,2,0,0,2,1,0,0,0,0,1,1,2,1,0,0,0,1,0,2,0,0,1,0,0,0,2,38
204,"Bambaradeniya",0,1,3,1,1,2,1,2,0,2,0,2,0,1,0,1,0,0,2,3,1,1,4,6,8,4,5,1,3,1,3,2,7,2,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,77
