KANKASANTURAI,0,20130103,9.48,80.04
JAFFNA,0,20130103,9.68,80.03
MULLAITTIVU,0,20130103,9.16,80.49
MANNAR,0,20130103,8.98,79.92
VAVUNIYA,30.9,20130103,8.75,80.5
TRINCOMALEE,14.6,20130103,8.58,81.25
ANURADHAPURA,25.4,20130103,8.35,80.38
MAHA ILLUPPALLAMA,23.5,20130103,8.12,80.47
PUTTALAM,6.6,20130103,8.03,79.83
BATTICALOA,81.2,20130103,7.72,81.7
KURUNEGALA,20.2,20130103,7.47,80.37
KANDY,0,20130103,7.2,80.38
COLOMBO,2.4,20130103,6.93,79.85
RATMALANA,3.6,20130103,6.82,79.88
NUWARA ELIYA,21.6,20130103,6.96,80.76
POTTUVIL,0,20130103,6.88,81.83
BANDARAWELA,21.1,20130103,6.82,80.99
BADULLA,33.3,20130103,6.98,81.05
RATNAPURA,30.9,20130103,6.68,80.4
GALLE,0,20130103,6.03,80.22
HAMBANTOTA,28.7,20130103,6.12,81.13
