mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
259,ADDACHCHENAI,20130922,38,1,259,20130922
29,AGALAWATTA,20130922,38,2,29,20130922
45,AKKARAIPATTU,20130922,38,0,45,20130922
183,AKMEEMANA,20130922,38,5,183,20130922
226,AKURANA,20130922,38,0,226,20130922
77,AKURESSA,20130922,38,0,77,20130922
44,ALAYADIVEMBU,20130922,38,0,44,20130922
213,ALAWWA,20130922,38,0,213,20130922
90,AMBAGAMUWA,20130922,38,0,90,20130922
14,AMBALANGODA,20130922,38,0,14,20130922
79,AMBALANTOTA,20130922,38,0,79,20130922
132,AMBANGANGA KORALE,20130922,38,0,132,20130922
224,Ambanpola,20130922,38,0,224,20130922
51,AMPARA,20130922,38,1,51,20130922
228,Anamaduwa,20130922,38,0,228,20130922
159,ANGUNUKOLAPELES,20130922,38,0,159,20130922
61,Anuradhapura,20130922,38,0,61,20130922
255,Arachchikattuwa,20130922,38,0,255,20130922
205,ARANAYAKA,20130922,38,0,205,20130922
47,ARAYAMPATHY,20130922,38,0,47,20130922
146,ATTANAGALLA,20130922,38,8,146,20130922
6,ATHURALIYA,20130922,38,0,6,20130922
144,AYAGAMA,20130922,38,0,144,20130922
253,Badalkumbura,20130922,38,0,253,20130922
200,BADDEGAMA,20130922,38,0,200,20130922
280,Badulla,20130922,38,2,280,20130922
240,BALANGODA,20130922,38,0,240,20130922
251,BALAPITIYA,20130922,38,2,251,20130922
204,BAMBARADENIYA,20130922,38,0,204,20130922
194,Bamunukotuwa,20130922,38,0,194,20130922
2,BANDARAGAMA,20130922,38,3,2,20130922
168,Bandarawela,20130922,38,0,168,20130922
134,BATTICALOA,20130922,38,2,134,20130922
232,BELIATTA,20130922,38,0,232,20130922
18,BERUWALA,20130922,38,4,18,20130922
50,Bibila,20130922,38,0,50,20130922
199,Bingiriya,20130922,38,0,199,20130922
3,BIYAGAMA,20130922,38,0,3,20130922
241,BOGAWANTHALAWA,20130922,38,1,241,20130922
230,BOPE-PODDALA,20130922,38,2,230,20130922
298,BORALESGAMUWA,20130922,38,3,298,20130922
265,BULATHKOHUPITIYA,20130922,38,0,265,20130922
314,BULATHSINHALA,20130922,38,0,314,20130922
23,Buttala,20130922,38,2,23,20130922
262,CHANKANAI,20130922,38,0,262,20130922
37,CHAVAKACHCHERI,20130922,38,1,37,20130922
177,CHEDDIKULAM,20130922,38,0,177,20130922
