stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,1.3,20130918,01KG0329,20130918
01BD0545,WEWESSA ESTATE,0.0,20130918,01BD0545,20130918
01RT196A,KALAWANA MINI HYDRO,23.0,20130918,01RT196A,20130918
01PU313A,MARAWILA,1.3,20130918,01PU313A,20130918
01KG175A,IBBAGAMUWA,6.3,20130918,01KG175A,20130918
01KG0326,MEDIYAWA TANK,0.0,20130918,01KG0326,20130918
01PL0340,MINNERIYA TANK,0.0,20130918,01PL0340,20130918
01PL224A,KAUDULLA WEWA,0.0,20130918,01PL224A,20130918
01MU357A,MUTU IYANKADDU,0.0,20130918,01MU357A,20130918
01AM0459,SAGAMAM TANK,0.0,20130918,01AM0459,20130918
01JF0425,POINT PEDRO,0.0,20130918,01JF0425,20130918
01KE0544,WEWELTALAWA ESTATE,52.8,20130918,01KE0544,20130918
01CB0268,LABUGAMA TANK,11.4,20130918,01CB0268,20130918
01PL538C,WELIKANDA SINGHAPURA,0.0,20130918,01PL538C,20130918
01AN104A,EHETUGASWEWA,0.0,20130918,01AN104A,20130918
01KT0200,KALUTARA-P.W.D.,16.2,20130918,01KT0200,20130918
01AM0012,AMPARAI TANK,0.0,20130918,01AM0012,20130918
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20130918,01KG0532,20130918
01MG540A,WELLAWAYA,0.0,20130918,01MG540A,20130918
01GL0030,BADDEGAMA ESTATE,38.2,20130918,01GL0030,20130918
01KG407A,PANNALA VIRIDIYAWA EST,15.0,20130918,01KG407A,20130918
01MU0216,KANNUKKENI TANK,0.0,20130918,01MU0216,20130918
01KG469A,SIYAMBALANGAMUWA,0.0,20130918,01KG469A,20130918
01KI0183,IRANAMADU TANK,0.0,20130918,01KI0183,20130918
01AM001E,ADDALACHENAI,0.0,20130918,01AM001E,20130918
01GM0011,AMBEPUSSA GOVT FARM,22.6,20130918,01GM0011,20130918
01GL0267,LABUDUWA,21.5,20130918,01GL0267,20130918
01RT042C,BELIHULOYA,1.3,20130918,01RT042C,20130918
01PU0065,CHILAW-P.W.D,0.0,20130918,01PU0065,20130918
01CB0025,AVISSAWELLA ESTATE,32.0,20130918,01CB0025,20130918
01CB0150,HANWELLA GROUP,8.1,20130918,01CB0150,20130918
01GM0373,NEGOMBO,0.0,20130918,01GM0373,20130918
01RT0435,PUSSELLA S.P.,20.3,20130918,01RT0435,20130918
01BT197B,KALKUDAH,0.0,20130918,01BT197B,20130918
01NE506B,UDARADELLA,27.6,20130918,01NE506B,20130918
01AM368B,NAVATKIRI ARU TANK,0.0,20130918,01AM368B,20130918
01RT0032,BALANGODA POST OFFICE,6.5,20130918,01RT0032,20130918
01AM493B,THIRUKKOVIL,0.0,20130918,01AM493B,20130918
01BT0357,MYLAMBAVELLY ESTATE,0.0,20130918,01BT0357,20130918
01KE009B,AMBANPITIYA ESTATE,0.0,20130918,01KE009B,20130918
01HT481A,SURIYAWEWA,0.0,20130918,01HT481A,20130918
01MT0232,KEKENADURA (MATARA),13.0,20130918,01MT0232,20130918
01KT400C,PALLEGODA ESTATE,8.4,20130918,01KT400C,20130918
01KG014A,ANDIGAMA FARM,6.2,20130918,01KG014A,20130918
01CB166A,HOMAGAMA,4.9,20130918,01CB166A,20130918
01GM487B,THAMMITA,2.6,20130918,01GM487B,20130918
01NE0236,KENILWORTH (STRATHELLIE),66.0,20130918,01NE0236,20130918
01KG258D,KULIYAPITIYA,0.0,20130918,01KG258D,20130918
01CB469B,COLOMBO PORT,10.3,20130918,01CB469B,20130918
01KG404A,PANDUWASNUWARA,0.0,20130918,01KG404A,20130918
01CB0080,DEHIWALA ZOO,16.2,20130918,01CB0080,20130918
01KY0418,PERADENIYA BOT.GARDENS,0.0,20130918,01KY0418,20130918
01KG0452,RIDIBENDI ELA,0.0,20130918,01KG0452,20130918
01CB0026,AVISSAWELLA HOSPITAL,34.6,20130918,01CB0026,20130918
01GM0528,WALPITA,0.0,20130918,01GM0528,20130918
01CB0016,ANGODA MENTAL HOSPITAL,11.2,20130918,01CB0016,20130918
01KT0035,BANDARAGAMA,11.2,20130918,01KT0035,20130918
01KG0256,KOULWEWA,0.0,20130918,01KG0256,20130918
01PL020A,ARALAGANWILA,0.0,20130918,01PL020A,20130918
01KT513A,USK VALLEY S.P.,53.0,20130918,01KT513A,20130918
01MG141B,HANDAPANGALA,0.0,20130918,01MG141B,20130918
01KG0253,HAKWATUNA-OYA,0.0,20130918,01KG0253,20130918
01HT0292,MAHA LEWAYA (HAMBANTOTA),38.4,20130918,01HT0292,20130918
43PPP,POLONNARUWA,0.0,20130918,43PPP,20130918
01PU0013,ANAMADUWA DISPENSARY,0.0,20130918,01PU0013,20130918
01VA414A,PAVATKULAM,0.0,20130918,01VA414A,20130918
01KE0021,ARANAYAKE GOVT. HOSPITAL,2.5,20130918,01KE0021,20130918
01ML324A,MEDAPIHILLA,0.0,20130918,01ML324A,20130918
01KG092B,DODANGASLANDA,3.4,20130918,01KG092B,20130918
01VA0518,VAVUNIYA P.W.D.,0.0,20130918,01VA0518,20130918
01AM459A,SAMANTHURAI,0.0,20130918,01AM459A,20130918
01RT539B,WELLANDURA TEA FACTORY,18.5,20130918,01RT539B,20130918
01KT021A,ARAMANAGOLLA,11.2,20130918,01KT021A,20130918
01AM257A,KUDASIGIRIYA,0.0,20130918,01AM257A,20130918
43418,TRINCOMALEE,0.0,20130918,43418,20130918
43421,ANURADHAPURA,0.0,20130918,43421,20130918
43413,MANNAR,0.0,20130918,43413,20130918
43467,RATMALANA,9.0,20130918,43467,20130918
43424,PUTTALAM,0.0,20130918,43424,20130918
43999,POTTUVIL,0.0,20130918,43999,20130918
43404,JAFFNA,0.0,20130918,43404,20130918
43441,KURUNEGALA,9.2,20130918,43441,20130918
43436,BATTICALOA,0.0,20130918,43436,20130918
43444,KATUGASTOTA,0.0,20130918,43444,20130918
143476,BANDARAWELA,2.6,20130918,143476,20130918
