stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,0.0,20130913,01KG0329,20130913
01BD0545,WEWESSA ESTATE,0.0,20130913,01BD0545,20130913
01RT196A,KALAWANA MINI HYDRO,30.5,20130913,01RT196A,20130913
01PU313A,MARAWILA,1.3,20130913,01PU313A,20130913
01KG175A,IBBAGAMUWA,6.2,20130913,01KG175A,20130913
01KG0326,MEDIYAWA TANK,5.7,20130913,01KG0326,20130913
01PL0340,MINNERIYA TANK,0.0,20130913,01PL0340,20130913
01PL224A,KAUDULLA WEWA,0.0,20130913,01PL224A,20130913
01MU357A,MUTU IYANKADDU,0.0,20130913,01MU357A,20130913
01AM0459,SAGAMAM TANK,0.0,20130913,01AM0459,20130913
01JF0425,POINT PEDRO,0.0,20130913,01JF0425,20130913
01KE0544,WEWELTALAWA ESTATE,68.3,20130913,01KE0544,20130913
01CB0268,LABUGAMA TANK,23.9,20130913,01CB0268,20130913
01PL538C,WELIKANDA SINGHAPURA,0.0,20130913,01PL538C,20130913
01AN104A,EHETUGASWEWA,0.0,20130913,01AN104A,20130913
01KT0200,KALUTARA-P.W.D.,15.5,20130913,01KT0200,20130913
01AM0012,AMPARAI TANK,0.0,20130913,01AM0012,20130913
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20130913,01KG0532,20130913
01MG540A,WELLAWAYA,0.0,20130913,01MG540A,20130913
01GL0030,BADDEGAMA ESTATE,6.2,20130913,01GL0030,20130913
01KG407A,PANNALA VIRIDIYAWA EST,0.0,20130913,01KG407A,20130913
01MU0216,KANNUKKENI TANK,0.0,20130913,01MU0216,20130913
01KG469A,SIYAMBALANGAMUWA,0.0,20130913,01KG469A,20130913
01KI0183,IRANAMADU TANK,0.0,20130913,01KI0183,20130913
01AM001E,ADDALACHENAI,0.0,20130913,01AM001E,20130913
01GM0011,AMBEPUSSA GOVT FARM,7.5,20130913,01GM0011,20130913
01GL0267,LABUDUWA,19.1,20130913,01GL0267,20130913
01RT042C,BELIHULOYA,0.7,20130913,01RT042C,20130913
01PU0065,CHILAW-P.W.D,25.2,20130913,01PU0065,20130913
01CB0025,AVISSAWELLA ESTATE,5.0,20130913,01CB0025,20130913
01CB0150,HANWELLA GROUP,10.0,20130913,01CB0150,20130913
01GM0373,NEGOMBO,0.0,20130913,01GM0373,20130913
