stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,1.4,20130910,01KG0329,20130910
01BD0545,WEWESSA ESTATE,1.0,20130910,01BD0545,20130910
01RT196A,KALAWANA MINI HYDRO,13.9,20130910,01RT196A,20130910
01PU313A,MARAWILA,2.8,20130910,01PU313A,20130910
01KG175A,IBBAGAMUWA,0.0,20130910,01KG175A,20130910
01KG0326,MEDIYAWA TANK,2.5,20130910,01KG0326,20130910
01PL0340,MINNERIYA TANK,0.0,20130910,01PL0340,20130910
01PL224A,KAUDULLA WEWA,0.0,20130910,01PL224A,20130910
01MU357A,MUTU IYANKADDU,0.0,20130910,01MU357A,20130910
01AM0459,SAGAMAM TANK,0.0,20130910,01AM0459,20130910
01JF0425,POINT PEDRO,0.0,20130910,01JF0425,20130910
01KE0544,WEWELTALAWA ESTATE,53.2,20130910,01KE0544,20130910
01CB0268,LABUGAMA TANK,26.9,20130910,01CB0268,20130910
01PL538C,WELIKANDA SINGHAPURA,0.0,20130910,01PL538C,20130910
01AN104A,EHETUGASWEWA,0.0,20130910,01AN104A,20130910
01KT0200,KALUTARA-P.W.D.,16.1,20130910,01KT0200,20130910
01AM0012,AMPARAI TANK,0.0,20130910,01AM0012,20130910
01KG0532,WARIYAPOLA EXPTL.STATION,1.0,20130910,01KG0532,20130910
01MG540A,WELLAWAYA,0.0,20130910,01MG540A,20130910
01GL0030,BADDEGAMA ESTATE,22.7,20130910,01GL0030,20130910
01KG407A,PANNALA VIRIDIYAWA EST,5.0,20130910,01KG407A,20130910
01MU0216,KANNUKKENI TANK,0.0,20130910,01MU0216,20130910
01KG469A,SIYAMBALANGAMUWA,0.0,20130910,01KG469A,20130910
01KI0183,IRANAMADU TANK,10.0,20130910,01KI0183,20130910
01AM001E,ADDALACHENAI,0.0,20130910,01AM001E,20130910
01GM0011,AMBEPUSSA GOVT FARM,3.5,20130910,01GM0011,20130910
01GL0267,LABUDUWA,14.7,20130910,01GL0267,20130910
01RT042C,BELIHULOYA,8.5,20130910,01RT042C,20130910
01PU0065,CHILAW-P.W.D,0.0,20130910,01PU0065,20130910
01CB0025,AVISSAWELLA ESTATE,9.0,20130910,01CB0025,20130910
01CB0150,HANWELLA GROUP,5.7,20130910,01CB0150,20130910
01GM0373,NEGOMBO,45.5,20130910,01GM0373,20130910
01RT0435,PUSSELLA S.P.,31.2,20130910,01RT0435,20130910
01BT197B,KALKUDAH,0.0,20130910,01BT197B,20130910
01NE506B,UDARADELLA,52.5,20130910,01NE506B,20130910
01AM368B,NAVATKIRI ARU TANK,0.0,20130910,01AM368B,20130910
01RT0032,BALANGODA POST OFFICE,11.0,20130910,01RT0032,20130910
01AM493B,THIRUKKOVIL,0.0,20130910,01AM493B,20130910
01BT0357,MYLAMBAVELLY ESTATE,0.0,20130910,01BT0357,20130910
01KE009B,AMBANPITIYA ESTATE,0.0,20130910,01KE009B,20130910
01HT481A,SURIYAWEWA,9.2,20130910,01HT481A,20130910
01MT0232,KEKENADURA (MATARA),23.8,20130910,01MT0232,20130910
01KT400C,PALLEGODA ESTATE,6.0,20130910,01KT400C,20130910
01KG014A,ANDIGAMA FARM,2.0,20130910,01KG014A,20130910
01CB166A,HOMAGAMA,2.4,20130910,01CB166A,20130910
01GM487B,THAMMITA,5.3,20130910,01GM487B,20130910
01NE0236,KENILWORTH (STRATHELLIE),57.0,20130910,01NE0236,20130910
01KG258D,KULIYAPITIYA,0.0,20130910,01KG258D,20130910
01CB469B,COLOMBO PORT,24.2,20130910,01CB469B,20130910
01KG404A,PANDUWASNUWARA,2.4,20130910,01KG404A,20130910
01CB0080,DEHIWALA ZOO,0.0,20130910,01CB0080,20130910
01KY0418,PERADENIYA BOT.GARDENS,12.0,20130910,01KY0418,20130910
01KG0452,RIDIBENDI ELA,0.0,20130910,01KG0452,20130910
01CB0026,AVISSAWELLA HOSPITAL,14.7,20130910,01CB0026,20130910
01GM0528,WALPITA,8.0,20130910,01GM0528,20130910
01CB0016,ANGODA MENTAL HOSPITAL,0.0,20130910,01CB0016,20130910
01KT0035,BANDARAGAMA,8.2,20130910,01KT0035,20130910
01KG0256,KOULWEWA,0.0,20130910,01KG0256,20130910
01PL020A,ARALAGANWILA,0.0,20130910,01PL020A,20130910
01KT513A,USK VALLEY S.P.,12.0,20130910,01KT513A,20130910
01MG141B,HANDAPANGALA,1.2,20130910,01MG141B,20130910
01KG0253,HAKWATUNA-OYA,0.0,20130910,01KG0253,20130910
01HT0292,MAHA LEWAYA (HAMBANTOTA),7.2,20130910,01HT0292,20130910
43PPP,POLONNARUWA,0.0,20130910,43PPP,20130910
01PU0013,ANAMADUWA DISPENSARY,0.0,20130910,01PU0013,20130910
01VA414A,PAVATKULAM,0.0,20130910,01VA414A,20130910
01KE0021,ARANAYAKE GOVT. HOSPITAL,28.3,20130910,01KE0021,20130910
01ML324A,MEDAPIHILLA,0.0,20130910,01ML324A,20130910
01KG092B,DODANGASLANDA,6.0,20130910,01KG092B,20130910
01VA0518,VAVUNIYA P.W.D.,0.0,20130910,01VA0518,20130910
01AM459A,SAMANTHURAI,0.0,20130910,01AM459A,20130910
01RT539B,WELLANDURA TEA FACTORY,27.2,20130910,01RT539B,20130910
01KT021A,ARAMANAGOLLA,12.3,20130910,01KT021A,20130910
01AM257A,KUDASIGIRIYA,0.0,20130910,01AM257A,20130910
43418,TRINCOMALEE,0.0,20130910,43418,20130910
43421,ANURADHAPURA,0.0,20130910,43421,20130910
43413,MANNAR,0.0,20130910,43413,20130910
43467,RATMALANA,4.2,20130910,43467,20130910
43424,PUTTALAM,0.0,20130910,43424,20130910
43999,POTTUVIL,0.2,20130910,43999,20130910
43404,JAFFNA,0.0,20130910,43404,20130910
43441,KURUNEGALA,1.8,20130910,43441,20130910
43436,BATTICALOA,7.0,20130910,43436,20130910
43444,KATUGASTOTA,23.4,20130910,43444,20130910
143476,BANDARAWELA,9.8,20130910,143476,20130910
