stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,24.1,20131102,01KG0329,20131102
01BD0545,WEWESSA ESTATE,0.0,20131102,01BD0545,20131102
01RT196A,KALAWANA MINI HYDRO,25.6,20131102,01RT196A,20131102
01PU313A,MARAWILA,15.3,20131102,01PU313A,20131102
01KG175A,IBBAGAMUWA,0.0,20131102,01KG175A,20131102
01KG0326,MEDIYAWA TANK,0.0,20131102,01KG0326,20131102
01PL0340,MINNERIYA TANK,0.0,20131102,01PL0340,20131102
01PL224A,KAUDULLA WEWA,0.0,20131102,01PL224A,20131102
01MU357A,MUTU IYANKADDU,27.0,20131102,01MU357A,20131102
01JF0425,POINT PEDRO,0.0,20131102,01JF0425,20131102
01KE0544,WEWELTALAWA ESTATE,2.0,20131102,01KE0544,20131102
01CB0268,LABUGAMA TANK,2.9,20131102,01CB0268,20131102
01PL538C,WELIKANDA SINGHAPURA,8.0,20131102,01PL538C,20131102
01AN104A,EHETUGASWEWA,4.2,20131102,01AN104A,20131102
01KT0200,KALUTARA-P.W.D.,11.0,20131102,01KT0200,20131102
01AM0012,AMPARAI TANK,22.8,20131102,01AM0012,20131102
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20131102,01KG0532,20131102
01MG540A,WELLAWAYA,6.1,20131102,01MG540A,20131102
01GL0030,BADDEGAMA ESTATE,44.2,20131102,01GL0030,20131102
01KG407A,PANNALA VIRIDIYAWA EST,8.5,20131102,01KG407A,20131102
01MU0216,KANNUKKENI TANK,0.0,20131102,01MU0216,20131102
01KG469A,SIYAMBALANGAMUWA,15.0,20131102,01KG469A,20131102
01KI0183,IRANAMADU TANK,0.0,20131102,01KI0183,20131102
01AM001E,ADDALACHENAI,0.0,20131102,01AM001E,20131102
01GM0011,AMBEPUSSA GOVT FARM,0.0,20131102,01GM0011,20131102
01GL0267,LABUDUWA,48.0,20131102,01GL0267,20131102
01RT042C,BELIHULOYA,7.3,20131102,01RT042C,20131102
01PU0065,CHILAW-P.W.D,0.0,20131102,01PU0065,20131102
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20131102,01AN193A,20131102
01CB0025,AVISSAWELLA ESTATE,13.0,20131102,01CB0025,20131102
01CB0150,HANWELLA GROUP,41.0,20131102,01CB0150,20131102
01GM0373,NEGOMBO,8.0,20131102,01GM0373,20131102
01RT0435,PUSSELLA S.P.,4.9,20131102,01RT0435,20131102
01BT197B,KALKUDAH,14.5,20131102,01BT197B,20131102
01NE506B,UDARADELLA,6.2,20131102,01NE506B,20131102
01AM368B,NAVATKIRI ARU TANK,0.0,20131102,01AM368B,20131102
01RT0032,BALANGODA POST OFFICE,8.0,20131102,01RT0032,20131102
01AM493B,THIRUKKOVIL,0.0,20131102,01AM493B,20131102
01BT0357,MYLAMBAVELLY ESTATE,0.0,20131102,01BT0357,20131102
01KE009B,AMBANPITIYA ESTATE,11.2,20131102,01KE009B,20131102
01HT481A,SURIYAWEWA,23.2,20131102,01HT481A,20131102
01MT0232,KEKENADURA (MATARA),36.8,20131102,01MT0232,20131102
01KT400C,PALLEGODA ESTATE,49.0,20131102,01KT400C,20131102
01KG014A,ANDIGAMA FARM,3.6,20131102,01KG014A,20131102
01CB166A,HOMAGAMA,20.6,20131102,01CB166A,20131102
01GM487B,THAMMITA,25.9,20131102,01GM487B,20131102
01NE0236,KENILWORTH (STRATHELLIE),0.0,20131102,01NE0236,20131102
01KG258D,KULIYAPITIYA,5.5,20131102,01KG258D,20131102
01CB469B,COLOMBO PORT,3.7,20131102,01CB469B,20131102
01KG404A,PANDUWASNUWARA,0.0,20131102,01KG404A,20131102
01CB0080,DEHIWALA ZOO,3.7,20131102,01CB0080,20131102
01KY0418,PERADENIYA BOT.GARDENS,0.0,20131102,01KY0418,20131102
01KG0452,RIDIBENDI ELA,7.0,20131102,01KG0452,20131102
01CB0026,AVISSAWELLA HOSPITAL,16.5,20131102,01CB0026,20131102
01GM0528,WALPITA,18.0,20131102,01GM0528,20131102
01CB0016,ANGODA MENTAL HOSPITAL,23.2,20131102,01CB0016,20131102
01JF062A,CHAVAKACHCHERI,18.8,20131102,01JF062A,20131102
01KT0035,BANDARAGAMA,4.2,20131102,01KT0035,20131102
01KG0256,KOULWEWA,59.0,20131102,01KG0256,20131102
01PL020A,ARALAGANWILA,4.5,20131102,01PL020A,20131102
01KT513A,USK VALLEY S.P.,11.0,20131102,01KT513A,20131102
01MG141B,HANDAPANGALA,0.0,20131102,01MG141B,20131102
01KG0253,HAKWATUNA-OYA,0.0,20131102,01KG0253,20131102
43PPP,POLONNARUWA,7.4,20131102,43PPP,20131102
01PU0013,ANAMADUWA DISPENSARY,3.6,20131102,01PU0013,20131102
01VA414A,PAVATKULAM,0.0,20131102,01VA414A,20131102
01KE0021,ARANAYAKE GOVT. HOSPITAL,2.5,20131102,01KE0021,20131102
01ML324A,MEDAPIHILLA,7.8,20131102,01ML324A,20131102
01NE0153,HATTON KOTAGALA ROSITA,0.0,20131102,01NE0153,20131102
01KG092B,DODANGASLANDA,0.0,20131102,01KG092B,20131102
01VA0518,VAVUNIYA P.W.D.,0.0,20131102,01VA0518,20131102
01PL0427,POLONNARUWA AGRI.STATION,5.0,20131102,01PL0427,20131102
01AM459A,SAMANTHURAI,16.0,20131102,01AM459A,20131102
01RT539B,WELLANDURA TEA FACTORY,2.0,20131102,01RT539B,20131102
01KT021A,ARAMANAGOLLA,4.2,20131102,01KT021A,20131102
01AM257A,KUDASIGIRIYA,0.0,20131102,01AM257A,20131102
43418,TRINCOMALEE,7.1,20131102,43418,20131102
