stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,1.5,20130722,01KG0329,20130722
01BD0545,WEWESSA ESTATE,0.0,20130722,01BD0545,20130722
01RT196A,KALAWANA MINI HYDRO,43.2,20130722,01RT196A,20130722
01PU313A,MARAWILA,0.0,20130722,01PU313A,20130722
01KG175A,IBBAGAMUWA,18.0,20130722,01KG175A,20130722
01KG0326,MEDIYAWA TANK,0.0,20130722,01KG0326,20130722
01PL0340,MINNERIYA TANK,0.0,20130722,01PL0340,20130722
01PL224A,KAUDULLA WEWA,0.0,20130722,01PL224A,20130722
01MU357A,MUTU IYANKADDU,0.0,20130722,01MU357A,20130722
01AM0459,SAGAMAM TANK,0.0,20130722,01AM0459,20130722
01JF0425,POINT PEDRO,0.0,20130722,01JF0425,20130722
01KE0544,WEWELTALAWA ESTATE,9.0,20130722,01KE0544,20130722
01CB0268,LABUGAMA TANK,52.8,20130722,01CB0268,20130722
01AN104A,EHETUGASWEWA,0.0,20130722,01AN104A,20130722
01KT0200,KALUTARA-P.W.D.,0.0,20130722,01KT0200,20130722
01AM0012,AMPARAI TANK,0.0,20130722,01AM0012,20130722
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20130722,01KG0532,20130722
01MG540A,WELLAWAYA,0.0,20130722,01MG540A,20130722
01GL0030,BADDEGAMA ESTATE,69.4,20130722,01GL0030,20130722
01KG407A,PANNALA VIRIDIYAWA EST,2.3,20130722,01KG407A,20130722
01MU0216,KANNUKKENI TANK,0.0,20130722,01MU0216,20130722
01KG469A,SIYAMBALANGAMUWA,0.0,20130722,01KG469A,20130722
01KI0183,IRANAMADU TANK,0.0,20130722,01KI0183,20130722
01AM001E,ADDALACHENAI,0.0,20130722,01AM001E,20130722
01GM0011,AMBEPUSSA GOVT FARM,4.4,20130722,01GM0011,20130722
01GL0267,LABUDUWA,31.5,20130722,01GL0267,20130722
01RT042C,BELIHULOYA,0.5,20130722,01RT042C,20130722
01PU0065,CHILAW-P.W.D,0.0,20130722,01PU0065,20130722
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20130722,01AN193A,20130722
01CB0025,AVISSAWELLA ESTATE,5.5,20130722,01CB0025,20130722
01CB0150,HANWELLA GROUP,40.3,20130722,01CB0150,20130722
01GM0373,NEGOMBO,0.0,20130722,01GM0373,20130722
01RT0435,PUSSELLA S.P.,58.1,20130722,01RT0435,20130722
01BT197B,KALKUDAH,0.0,20130722,01BT197B,20130722
01NE506B,UDARADELLA,28.5,20130722,01NE506B,20130722
01AM368B,NAVATKIRI ARU TANK,0.0,20130722,01AM368B,20130722
01RT0032,BALANGODA POST OFFICE,4.0,20130722,01RT0032,20130722
01AM493B,THIRUKKOVIL,0.0,20130722,01AM493B,20130722
01BT0357,MYLAMBAVELLY ESTATE,0.0,20130722,01BT0357,20130722
01KE009B,AMBANPITIYA ESTATE,0.0,20130722,01KE009B,20130722
01HT481A,SURIYAWEWA,7.5,20130722,01HT481A,20130722
01MT0232,KEKENADURA (MATARA),17.0,20130722,01MT0232,20130722
01KT400C,PALLEGODA ESTATE,57.0,20130722,01KT400C,20130722
01KG014A,ANDIGAMA FARM,3.0,20130722,01KG014A,20130722
01CB166A,HOMAGAMA,14.5,20130722,01CB166A,20130722
01GM487B,THAMMITA,16.7,20130722,01GM487B,20130722
01NE0236,KENILWORTH (STRATHELLIE),26.0,20130722,01NE0236,20130722
01KG258D,KULIYAPITIYA,1.6,20130722,01KG258D,20130722
01CB469B,COLOMBO PORT,20.6,20130722,01CB469B,20130722
01KG404A,PANDUWASNUWARA,0.0,20130722,01KG404A,20130722
01CB0080,DEHIWALA ZOO,18.8,20130722,01CB0080,20130722
01KY0418,PERADENIYA BOT.GARDENS,16.2,20130722,01KY0418,20130722
01KG0452,RIDIBENDI ELA,0.0,20130722,01KG0452,20130722
01CB0026,AVISSAWELLA HOSPITAL,23.4,20130722,01CB0026,20130722
01GM0528,WALPITA,4.0,20130722,01GM0528,20130722
01CB0016,ANGODA MENTAL HOSPITAL,3.5,20130722,01CB0016,20130722
01KT0035,BANDARAGAMA,25.9,20130722,01KT0035,20130722
01KG0256,KOULWEWA,0.0,20130722,01KG0256,20130722
01PL020A,ARALAGANWILA,0.0,20130722,01PL020A,20130722
01KT513A,USK VALLEY S.P.,10.0,20130722,01KT513A,20130722
01MG141B,HANDAPANGALA,0.0,20130722,01MG141B,20130722
01KG0253,HAKWATUNA-OYA,0.0,20130722,01KG0253,20130722
01HT0292,MAHA LEWAYA (HAMBANTOTA),2.1,20130722,01HT0292,20130722
43PPP,POLONNARUWA,0.0,20130722,43PPP,20130722
01VA414A,PAVATKULAM,0.0,20130722,01VA414A,20130722
01KE0021,ARANAYAKE GOVT. HOSPITAL,26.6,20130722,01KE0021,20130722
01ML324A,MEDAPIHILLA,0.0,20130722,01ML324A,20130722
01NE0153,HATTON KOTAGALA ROSITA,40.1,20130722,01NE0153,20130722
01KG092B,DODANGASLANDA,6.2,20130722,01KG092B,20130722
01VA0518,VAVUNIYA P.W.D.,0.0,20130722,01VA0518,20130722
01PL0427,POLONNARUWA AGRI.STATION,0.0,20130722,01PL0427,20130722
01AM459A,SAMANTHURAI,0.0,20130722,01AM459A,20130722
01RT539B,WELLANDURA TEA FACTORY,20.3,20130722,01RT539B,20130722
01KT021A,ARAMANAGOLLA,30.3,20130722,01KT021A,20130722
01AM257A,KUDASIGIRIYA,0.0,20130722,01AM257A,20130722
43418,TRINCOMALEE,0.0,20130722,43418,20130722
43421,ANURADHAPURA,0.0,20130722,43421,20130722
43413,MANNAR,0.0,20130722,43413,20130722
43467,RATMALANA,34.2,20130722,43467,20130722
43424,PUTTALAM,0.0,20130722,43424,20130722
43999,POTTUVIL,0.0,20130722,43999,20130722
43404,JAFFNA,0.0,20130722,43404,20130722
43441,KURUNEGALA,7.0,20130722,43441,20130722
43436,BATTICALOA,0.0,20130722,43436,20130722
43444,KATUGASTOTA,8.6,20130722,43444,20130722
143476,BANDARAWELA,0.5,20130722,143476,20130722
