stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,0.0,20131003,01KG0329,20131003
01BD0545,WEWESSA ESTATE,0.0,20131003,01BD0545,20131003
01RT196A,KALAWANA MINI HYDRO,9.9,20131003,01RT196A,20131003
01PU313A,MARAWILA,0.0,20131003,01PU313A,20131003
01KG175A,IBBAGAMUWA,0.0,20131003,01KG175A,20131003
01PL0340,MINNERIYA TANK,0.0,20131003,01PL0340,20131003
01PL224A,KAUDULLA WEWA,0.0,20131003,01PL224A,20131003
01MU357A,MUTU IYANKADDU,0.0,20131003,01MU357A,20131003
01AM0459,SAGAMAM TANK,0.0,20131003,01AM0459,20131003
01JF0425,POINT PEDRO,0.0,20131003,01JF0425,20131003
01KE0544,WEWELTALAWA ESTATE,0.0,20131003,01KE0544,20131003
01CB0268,LABUGAMA TANK,0.0,20131003,01CB0268,20131003
01PL538C,WELIKANDA SINGHAPURA,0.0,20131003,01PL538C,20131003
01AN104A,EHETUGASWEWA,0.0,20131003,01AN104A,20131003
01KT0200,KALUTARA-P.W.D.,2.4,20131003,01KT0200,20131003
01AM0012,AMPARAI TANK,0.0,20131003,01AM0012,20131003
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20131003,01KG0532,20131003
01MG540A,WELLAWAYA,0.0,20131003,01MG540A,20131003
01GL0030,BADDEGAMA ESTATE,7.5,20131003,01GL0030,20131003
01KG407A,PANNALA VIRIDIYAWA EST,0.0,20131003,01KG407A,20131003
01MU0216,KANNUKKENI TANK,0.0,20131003,01MU0216,20131003
01KG469A,SIYAMBALANGAMUWA,0.0,20131003,01KG469A,20131003
01KI0183,IRANAMADU TANK,0.0,20131003,01KI0183,20131003
01AM001E,ADDALACHENAI,0.0,20131003,01AM001E,20131003
01GM0011,AMBEPUSSA GOVT FARM,0.0,20131003,01GM0011,20131003
01GL0267,LABUDUWA,0.2,20131003,01GL0267,20131003
01RT042C,BELIHULOYA,0.5,20131003,01RT042C,20131003
01PU0065,CHILAW-P.W.D,0.0,20131003,01PU0065,20131003
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20131003,01AN193A,20131003
01CB0025,AVISSAWELLA ESTATE,0.5,20131003,01CB0025,20131003
01CB0150,HANWELLA GROUP,0.0,20131003,01CB0150,20131003
01GM0373,NEGOMBO,0.0,20131003,01GM0373,20131003
01RT0435,PUSSELLA S.P.,1.8,20131003,01RT0435,20131003
01BT197B,KALKUDAH,0.0,20131003,01BT197B,20131003
01NE506B,UDARADELLA,0.0,20131003,01NE506B,20131003
01AM368B,NAVATKIRI ARU TANK,0.0,20131003,01AM368B,20131003
01RT0032,BALANGODA POST OFFICE,0.0,20131003,01RT0032,20131003
01AM493B,THIRUKKOVIL,0.0,20131003,01AM493B,20131003
01BT0357,MYLAMBAVELLY ESTATE,0.0,20131003,01BT0357,20131003
01HT481A,SURIYAWEWA,0.0,20131003,01HT481A,20131003
