moh_id,moh,dengue_count,Mobility,Percipitation,Temp,Vegitation
261,Navithanve,0,,,,
39,Nawalapitiya,3,,,,
161,Nawalbase(,0,,,,
87,Neluwa,1,,,,
257,Nikaweratiya,0,,,,
320,Nintavur,3,,,,
142,Nivithigala,0,,,,
63,Niyagama,0,,,,
121,Nochchiyag,3,,,,
164,Nugegoda,6,,,,
281,Nuwara-Eliya,0,,,,
82,Oddamavadi,0,,,,
109,oddusuddan,0,,,,
311,Okewela,1,,,,
303,Opanayaka,0,,,,
21,Padavi Sripura,0,,,,
20,Padaviya,0,,,,
53,Padiyatalwa,0,,,,
244,Padukka,0,,,,
297,Palagala,2,,,,
155,Palai,0,,,,
28,Palinda-Nuwara,2,,,,
309,Pallama,0,,,,
158,Pallepola,0,,,,
0,Panadura,28,,,,
126,Panduwasnuwara,3,,,,
88,Pannala,0,,,,
308,Panwila,0,,,,
237,Pasgoda,0,,,,
252,Passara,2,,,,
184,Pelmadulla,1,,,,
172,Piliyandala,10,,,,
201,Point-Pedro,1,,,,
209,Polgahawela,10,,,,
73,Polpithigama,3,,,,
319,Poojapitiya,0,,,,
317,Poonakari,1,,,,
97,Pothuvil,0,,,,
225,PS-Matara,0,,,,
111,Puthukudiyirippu,4,,,,
8,Puttalam,13,,,,
115,Ragala,1,,,,
19,Ragama,2,,,,
122,Rajanganay,2,,,,
210,Rambewa,1,,,,
208,Rambukkana,5,,,,
95,Rathnapura,5,,,,
26,Rattota,1,,,,
57,Rideemaliy,1,,,,
269,Ridigama,8,,,,
145,Ruwanwella,1,,,,
318,Sainthamaruthu,3,,,,
300,Sammanthurai,6,,,,
22,Sampathnuwara,0,,,,
151,Sandilipay,2,,,,
66,Seeduwa,4,,,,
179,Seruwila,0,,,,
291,Sevanagala,0,,,,
129,Siyambalanduwa,1,,,,
127,Sooriyawewa,0,,,,
113,Talatu-Oya,0,,,,
235,Tanamalwila,1,,,,
233,Tangalle,0,,,,
64,Tawalama,0,,,,
152,Tellippalai,1,,,,
60,Thalawa,2,,,,
195,Thamankadu,0,,,,
108,Thambuttegama,0,,,,
302,Thampalakamam,1,,,,
287,Thihagoda,1,,,,
17,Thirappane,1,,,,
138,Thirukovil,0,,,,
10,Thunukkai-,0,,,,
202,Tissamaharama,0,,,,
160,Trincomalee,0,,,,
245,Udubaddawa,1,,,,
93,Ududumbara,1,,,,
62,Udugama(Na,0,,,,
219,Udunuwara,0,,,,
94,Uduvil,3,,,,
52,Uhana,1,,,,
316,Ukuwela,10,,,,
214,Uppuveli,0,,,,
117,Uva-Provincial Council,1,,,,
83,Vakarai,0,,,,
81,Valaichcheni,0,,,,
150,Vaunathivu,1,,,,
273,Vavuniya,4,,,,
196,Vavuniya(N,0,,,,
176,Vavuniya(S,0,,,,
114,Velanai,0,,,,
135,Vellaveli,0,,,,
30,Walallavita,0,,,,
321,Walapone,0,,,,
191,Walasmulla,1,,,,
211,Warakapola,0,,,,
75,Wariyapola,1,,,,
24,Wattala,4,,,,
227,Wattegama(,5,,,,
305,Weeraketiya,0,,,,
74,Weerambugedara,5,,,,
198,Weligama,0,,,,
304,Weligepola,0,,,,
34,Welimada,0,,,,
166,Welipitiya,0,,,,
178,Wellawaya,1,,,,
193,Wennappuwa,3,,,,
86,Wilgamuwa,0,,,,
78,Yakkalamulla,2,,,,
27,Yatawatta,1,,,,
220,Yatinuwara,2,,,,
266,Yatiyantot,1,,,,
