Poonakari,9.5033109,80.2112164,
Kandavalai,9.4548222,80.4938267,
Palai,9.0666667,80.1333333,
Mannar,8.9893222,79.8800832,
Nananthan(,,,
Madhu,8.856361,80.2042436,
Manthalai+AC0-,,,
Musali,8.747218,79.955453,
Vavuniya,8.7381572,80.4771472,
Vavuniya(S,8.691745,80.348321,Not sure
Cheddikulam,8.6655956,80.2962385,
Vavuniya(N,8.773647,80.50528,
Mullativu,9.2670911,80.814248,
Thunukkai+AC0-,9.148438,80.273515,
oddusuddan,9.156883,80.651107,
Puthukudiyirippu,9.315822,80.699493,
Sampathnuwara,8.973651,80.77642,
Batticaloa,7.7309971,81.6747295,
Chenkaladi,7.7858571,81.5898016,
Kaluvanchikudi,7.5293725,81.7946092,
Valaichcheni,7.921664,81.524953,
Kattankudy,7.683379,81.731204,
Eravoor,7.7835445,81.6089873,
Padippalai,,,
Vaunathivu,7.7166377,81.7001087,
Vakarai,8.1369099,81.434079,
Vellaveli,7.499365,81.728239,
Oddamavadi,7.9031076,81.5239846,
Korali+AC0-p(C,,,
Arayampathy,7.6569501,81.7404134,
Kiran,7.8677797,81.5102655,
Ampara,7.298146,81.675485,
Dehiattakandiya,7.6712796,81.046484,
Uhana,7.363036,81.635277,
Maha+AC0-Oya,7.5311162,81.3454417,
Padiyatalwa,7.3925126,81.2436227,
Lahugala,6.8720872,81.7226298,
Damana,7.2012207,81.65693,
Trincomalee,8.590253,81.206694,
Kantale,8.35588,81.008789,
Kinniya,8.475005,81.171391,
Padavi Sripura,8.925698,80.809164,
Mutur,8.4579065,81.2684019,
Seruwila,8.370791,81.319325,
Thampalakamam,8.499227,81.097028,
Gomarankadawala,8.6750384,80.9632423,
Kuchchaveli,8.821385,81.0947808,
Echilampat,,,
Uppuveli,8.601208,81.219595,
Nawalbase(,8.569877,81.236983,
Bingiriya,7.5928266,79.9349173,
Galgamuwa,7.989705,80.286755,
Ibbagamuwa,7.552931,80.454172,
Kuliyapitiya,7.472123,80.0446221,
Kurunegala,7.480365,80.361729,
Maho,7.82361,80.272336,
Mawathagama,7.429217,80.451078,
Narammala,7.437773,80.218992,
Nikaweratiya,7.7463861,80.1316927,
Panduwasnuwara,7.60567,80.103231,
Pannala,7.3295421,80.0227514,
Polgahawela,7.328012,80.296358,
Polpithigama,7.820746,80.40547,
Ridigama,7.543869,80.485067,
Wariyapola,7.6239144,80.2433145,
Udubaddawa,7.483744,79.980514,
Giribawa,8.117667,80.189062,
Kotavehara,7.068201,81.561803,
Ganewatta,7.655595,80.348855,
Alawwa,7.294377,80.233647,
MC+AC0-Kurunegala,7.482067,80.364819,
Kuliyapitiya,7.472123,80.0446221,
Ambanpola,7.92062,80.241094,
Kobeigane,7.656245,80.126209,
Bamuna,7.780602,80.818401,
Weerambugedara,7.476368,80.242284,
Mallawapitiya,7.475708,80.389795,
Anamaduwa,7.8777703,80.0111156,
Arachchikattuwa,7.666635,79.833359,
Chilaw,7.570904,79.795206,
Dankotuwa,7.293846,79.886814,
Kalpitiya,8.228773,79.763998,
Karuwalaga,8.054938,79.954687,
Marawila,7.414272,79.831724,
Puttalam,8.040034,79.840944,
Mundel,7.788852,79.827778,
Wennappuwa,7.344954,79.840731,
Mahawewa,7.454118,79.822592,
Nattandiya,7.413272,79.858332,
Pallama,7.683883,79.925797,
Anuradhapu,8.330566,80.402339,
Kahatagasd,8.427057,80.69104,
