,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
0,KANKASANTURAI,01/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
1,JAFFNA,01/01/2013,26.6,30.2,23.0,0.0,1011.2 Hpa,-,-,6/8,,SRI LANKA
2,MULLAITTIVU,01/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3,MANNAR,01/01/2013,27.6,29.9,25.2,0.0,1010.6 Hpa,44º(NE),11,3/8,,SRI LANKA
4,VAVUNIYA,01/01/2013,25.8,30.9,20.6,0.0,1010.8 Hpa,42º(NE),3,5/8,,SRI LANKA
5,TRINCOMALEE,01/01/2013,27.0,29.5,24.5,1.9,-,36º(NE),5,7/8,,SRI LANKA
6,ANURADHAPURA,01/01/2013,26.9,30.4,23.5,0.0,1010.5 Hpa,290º(W),2,6/8,,SRI LANKA
7,MAHA ILLUPPALLAMA,01/01/2013,26.6,30.1,23.0,0.0,1010.3 Hpa,41º(NE),8,5/8,,SRI LANKA
8,PUTTALAM,01/01/2013,27.6,31.6,23.5,0.0,-,17º(N),2,5/8,,SRI LANKA
9,BATTICALOA,01/01/2013,27.3,29.3,25.3,Tr,1009.9 Hpa,350º(N),8,7/8,,SRI LANKA
10,KURUNEGALA,01/01/2013,27.0,31.4,22.6,0.0,1009.0 Hpa,31º(NE),4,6/8,,SRI LANKA
11,KANDY,01/01/2013,24.0,28.0,20.0,Tr,1010.1 Hpa,70º(E),1,7/8,,SRI LANKA
12,COLOMBO,01/01/2013,28.5,32.6,24.4,0.0,1009.2 Hpa,28º(NE),5,5/8,,SRI LANKA
13,RATMALANA,01/01/2013,28.9,33.2,24.5,0.0,1009.2 Hpa,22º(N),8,5/8,,SRI LANKA
14,NUWARA ELIYA,01/01/2013,16.5,20.9,12.1,0.0,1492 m(850 Hpa),90º(E),2,5/8,,SRI LANKA
15,POTTUVIL,01/01/2013,27.7,30.4,25.0,-,1009.3 Hpa,2º(N),5,8/8,,SRI LANKA
16,BANDARAWELA,01/01/2013,18.7,21.9,15.5,0.0,1516 m(850 Hpa),310º(NW),7,7/8,,SRI LANKA
17,BADULLA,01/01/2013,21.1,24.7,17.6,0.1,-,47º(NE),3,8/8,,SRI LANKA
18,RATNAPURA,01/01/2013,27.5,32.0,23.0,0.0,1009.4 Hpa,341º(N),1,7/8,,SRI LANKA
19,GALLE,01/01/2013,27.3,29.8,24.8,0.0,1010.2 Hpa,135º(SE),7,7/8,,SRI LANKA
20,HAMBANTOTA,01/01/2013,27.8,31.3,24.3,0.0,1008.9 Hpa,2º(N),4,7/8,,SRI LANKA
21,KANKASANTURAI,02/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
22,JAFFNA,02/01/2013,25.8,29.7,21.9,0.0,1011.8 Hpa,-,-,6/8,,SRI LANKA
23,MULLAITTIVU,02/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
24,MANNAR,02/01/2013,27.2,29.1,25.4,0.0,1011.6 Hpa,38º(NE),10,4/8,,SRI LANKA
25,VAVUNIYA,02/01/2013,26.6,30.4,22.9,0.0,1011.7 Hpa,24º(NE),2,5/8,,SRI LANKA
26,TRINCOMALEE,02/01/2013,27.1,29.0,25.1,38.4,-,146º(SE),3,8/8,,SRI LANKA
27,ANURADHAPURA,02/01/2013,26.9,30.0,23.8,0.0,1011.7 Hpa,315º(NW),2,6/8,,SRI LANKA
28,MAHA ILLUPPALLAMA,02/01/2013,26.3,29.5,23.1,Tr,1011.2 Hpa,42º(NE),7,6/8,,SRI LANKA
29,PUTTALAM,02/01/2013,26.4,29.5,23.3,0.0,1010.8 Hpa,354º(N),3,5/8,,SRI LANKA
30,BATTICALOA,02/01/2013,27.9,29.2,26.6,30.5,1011.0 Hpa,360º(N),3,7/8,,SRI LANKA
31,KURUNEGALA,02/01/2013,27.1,31.0,23.1,Tr,1010.2 Hpa,0º(N),3,6/8,,SRI LANKA
32,KANDY,02/01/2013,24.6,28.3,20.8,3.3,1011.0 Hpa,45º(NE),1,6/8,,SRI LANKA
33,COLOMBO,02/01/2013,27.6,31.2,24.0,0.0,1010.4 Hpa,4º(N),4,5/8,,SRI LANKA
34,RATMALANA,02/01/2013,28.3,32.3,24.3,0.0,1010.6 Hpa,13º(N),10,4/8,,SRI LANKA
35,NUWARA ELIYA,02/01/2013,16.8,21.2,12.3,3.7,1500 m(850 Hpa),90º(E),2,5/8,,SRI LANKA
36,POTTUVIL,02/01/2013,27.4,29.8,25.0,-,1010.3 Hpa,340º(N),3,8/8,,SRI LANKA
37,BANDARAWELA,02/01/2013,20.1,24.0,16.2,4.9,1526 m(850 Hpa),317º(NW),5,7/8,,SRI LANKA
38,BADULLA,02/01/2013,21.6,24.8,18.5,7.3,-,70º(E),2,8/8,,SRI LANKA
39,RATNAPURA,02/01/2013,28.1,32.3,24.0,0.2,1010.3 Hpa,213º(SW),2,5/8,,SRI LANKA
40,GALLE,02/01/2013,27.4,30.0,24.7,0.0,1011.2 Hpa,24º(NE),7,7/8,,SRI LANKA
41,HAMBANTOTA,02/01/2013,28.3,31.8,24.8,Tr,1010.1 Hpa,26º(NE),6,6/8,,SRI LANKA
42,KANKASANTURAI,03/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
43,JAFFNA,03/01/2013,26.2,28.9,23.6,0.0,1012.4 Hpa,-,-,8/8,,SRI LANKA
44,MULLAITTIVU,03/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
45,MANNAR,03/01/2013,25.6,28.1,23.0,0.0,1012.0 Hpa,38º(NE),4,7/8,,SRI LANKA
46,VAVUNIYA,03/01/2013,24.6,26.1,23.0,30.9,1012.0 Hpa,230º(SW),1,7/8,,SRI LANKA
47,TRINCOMALEE,03/01/2013,24.1,25.1,23.0,14.6,-,324º(NW),3,8/8,,SRI LANKA
48,ANURADHAPURA,03/01/2013,25.8,28.1,23.4,25.4,1012.2 Hpa,320º(NW),1,8/8,,SRI LANKA
49,MAHA ILLUPPALLAMA,03/01/2013,23.9,25.1,22.6,23.5,1012.1 Hpa,40º(NE),5,8/8,,SRI LANKA
50,PUTTALAM,03/01/2013,25.1,27.5,22.8,6.6,1011.3 Hpa,360º(N),1,7/8,,SRI LANKA
51,BATTICALOA,03/01/2013,25.1,26.9,23.2,81.2,1011.3 Hpa,335º(NW),2,8/8,,SRI LANKA
52,KURUNEGALA,03/01/2013,25.1,27.1,23.1,20.2,1010.9 Hpa,9º(N),2,7/8,,SRI LANKA
53,KANDY,03/01/2013,23.9,26.3,21.5,-,1011.9 Hpa,19º(N),0,8/8,,SRI LANKA
54,COLOMBO,03/01/2013,26.4,28.4,24.5,2.4,1011.0 Hpa,31º(NE),4,8/8,,SRI LANKA
55,RATMALANA,03/01/2013,27.1,29.8,24.4,3.6,1011.1 Hpa,18º(N),8,6/8,,SRI LANKA
56,NUWARA ELIYA,03/01/2013,14.6,16.3,12.9,21.6,1501 m(850 Hpa),90º(E),4,8/8,,SRI LANKA
57,POTTUVIL,03/01/2013,26.1,28.3,24.0,-,1010.6 Hpa,320º(NW),5,7/8,,SRI LANKA
58,BANDARAWELA,03/01/2013,19.1,20.6,17.5,21.1,1528 m(850 Hpa),35º(NE),3,7/8,,SRI LANKA
59,BADULLA,03/01/2013,21.4,22.9,19.8,33.3,-,47º(NE),1,8/8,,SRI LANKA
60,RATNAPURA,03/01/2013,25.6,27.8,23.3,30.9,1010.9 Hpa,303º(NW),1,8/8,,SRI LANKA
61,GALLE,03/01/2013,26.9,29.6,24.3,-,1011.7 Hpa,355º(N),6,8/8,,SRI LANKA
62,HAMBANTOTA,03/01/2013,27.8,30.8,24.7,28.7,1010.3 Hpa,2º(N),7,8/8,,SRI LANKA
63,KANKASANTURAI,04/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
64,JAFFNA,04/01/2013,27.1,30.5,23.6,0.0,1011.7 Hpa,-,-,6/8,,SRI LANKA
65,MULLAITTIVU,04/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
66,MANNAR,04/01/2013,26.5,29.0,24.0,0.0,1010.8 Hpa,0º(N),5,6/8,,SRI LANKA
67,VAVUNIYA,04/01/2013,25.1,28.0,22.2,0.1,1010.9 Hpa,230º(SW),1,8/8,,SRI LANKA
68,TRINCOMALEE,04/01/2013,24.6,26.6,22.7,0.6,-,328º(NW),4,8/8,,SRI LANKA
69,ANURADHAPURA,04/01/2013,25.3,28.0,22.6,Tr,1011.1 Hpa,-,0,8/8,,SRI LANKA
70,MAHA ILLUPPALLAMA,04/01/2013,25.1,27.5,22.6,Tr,1011.1 Hpa,30º(NE),2,8/8,,SRI LANKA
71,PUTTALAM,04/01/2013,25.6,27.8,23.4,Tr,1010.0 Hpa,357º(N),2,8/8,,SRI LANKA
72,BATTICALOA,04/01/2013,24.9,26.9,23.0,17.9,1009.9 Hpa,295º(NW),3,8/8,,SRI LANKA
73,KURUNEGALA,04/01/2013,24.2,26.2,22.3,1.2,1010.2 Hpa,360º(N),0,8/8,,SRI LANKA
74,KANDY,04/01/2013,21.6,22.7,20.6,7.8,1011.4 Hpa,140º(SE),0,8/8,,SRI LANKA
75,COLOMBO,04/01/2013,25.1,26.6,23.6,1.9,1010.1 Hpa,45º(NE),4,8/8,,SRI LANKA
76,RATMALANA,04/01/2013,25.1,26.8,23.5,0.8,1009.9 Hpa,20º(N),7,8/8,,SRI LANKA
77,NUWARA ELIYA,04/01/2013,14.1,15.2,12.9,9.7,1505 m(850 Hpa),75º(E),16,8/8,,SRI LANKA
78,POTTUVIL,04/01/2013,23.7,24.2,23.2,-,1010.3 Hpa,317º(NW),5,8/8,,SRI LANKA
79,BANDARAWELA,04/01/2013,16.8,17.7,15.8,16.6,1518 m(850 Hpa),343º(N),7,8/8,,SRI LANKA
80,BADULLA,04/01/2013,19.2,20.4,18.1,29.7,-,90º(E),3,8/8,,SRI LANKA
81,RATNAPURA,04/01/2013,24.1,25.4,22.7,10.7,1009.7 Hpa,145º(SE),4,8/8,,SRI LANKA
82,GALLE,04/01/2013,24.5,25.8,23.2,1.6,1010.6 Hpa,3º(N),8,8/8,,SRI LANKA
83,HAMBANTOTA,04/01/2013,24.4,25.2,23.7,10.1,1009.4 Hpa,19º(N),2,8/8,,SRI LANKA
84,KANKASANTURAI,05/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
85,JAFFNA,05/01/2013,27.0,30.0,24.0,0.0,1009.9 Hpa,-,-,7/8,,SRI LANKA
86,MULLAITTIVU,05/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
87,MANNAR,05/01/2013,27.6,29.8,25.5,0.0,1009.3 Hpa,50º(NE),13,5/8,,SRI LANKA
88,VAVUNIYA,05/01/2013,28.0,29.1,26.9,0.0,1009.3 Hpa,59º(NE),4,8/8,,SRI LANKA
89,TRINCOMALEE,05/01/2013,25.5,27.9,23.1,0.0,-,20º(N),5,8/8,,SRI LANKA
90,ANURADHAPURA,05/01/2013,26.2,28.4,24.0,0.0,1009.3 Hpa,320º(NW),4,6/8,,SRI LANKA
91,MAHA ILLUPPALLAMA,05/01/2013,25.7,28.1,23.3,0.0,1009.0 Hpa,59º(NE),8,8/8,,SRI LANKA
92,PUTTALAM,05/01/2013,26.4,29.0,23.8,0.0,1008.1 Hpa,38º(NE),3,7/8,,SRI LANKA
93,BATTICALOA,05/01/2013,25.4,27.8,23.0,18.5,1008.6 Hpa,343º(N),6,8/8,,SRI LANKA
94,KURUNEGALA,05/01/2013,26.0,28.7,23.3,0.0,1007.5 Hpa,50º(NE),7,8/8,,SRI LANKA
95,KANDY,05/01/2013,23.4,26.8,20.0,0.0,1008.9 Hpa,90º(E),3,7/8,,SRI LANKA
96,COLOMBO,05/01/2013,26.9,30.1,23.7,0.0,1007.5 Hpa,36º(NE),10,8/8,,SRI LANKA
97,RATMALANA,05/01/2013,27.0,30.4,23.6,0.0,1007.3 Hpa,50º(NE),11,7/8,,SRI LANKA
98,NUWARA ELIYA,05/01/2013,13.4,15.4,11.4,0.5,1481 m(850 Hpa),90º(E),18,8/8,,SRI LANKA
99,POTTUVIL,05/01/2013,25.9,27.7,24.2,-,1008.3 Hpa,333º(NW),12,8/8,,SRI LANKA
100,BANDARAWELA,05/01/2013,17.4,19.9,15.0,1.4,1503 m(850 Hpa),311º(NW),11,8/8,,SRI LANKA
101,BADULLA,05/01/2013,20.3,22.9,17.7,3.7,-,38º(NE),6,8/8,,SRI LANKA
102,RATNAPURA,05/01/2013,25.1,28.6,21.7,0.2,1007.8 Hpa,140º(SE),0,6/8,,SRI LANKA
103,GALLE,05/01/2013,25.4,27.4,23.5,0.0,1007.9 Hpa,80º(E),4,7/8,,SRI LANKA
104,HAMBANTOTA,05/01/2013,25.8,28.8,22.7,0.0,1007.1 Hpa,50º(NE),14,7/8,,SRI LANKA
105,KANKASANTURAI,06/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
106,JAFFNA,06/01/2013,26.6,30.0,23.3,0.0,1010.3 Hpa,-,-,7/8,,SRI LANKA
107,MULLAITTIVU,06/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
108,MANNAR,06/01/2013,27.4,29.6,25.2,Tr,1009.6 Hpa,50º(NE),12,5/8,,SRI LANKA
109,VAVUNIYA,06/01/2013,26.2,29.0,23.5,Tr,1009.8 Hpa,40º(NE),2,7/8,,SRI LANKA
110,TRINCOMALEE,06/01/2013,27.2,28.3,26.1,1.4,-,7º(N),5,7/8,,SRI LANKA
111,ANURADHAPURA,06/01/2013,26.4,28.8,24.0,Tr,1009.6 Hpa,315º(NW),2,6/8,,SRI LANKA
112,MAHA ILLUPPALLAMA,06/01/2013,26.1,28.8,23.3,0.1,1009.3 Hpa,54º(NE),9,7/8,,SRI LANKA
113,PUTTALAM,06/01/2013,26.8,30.2,23.3,Tr,1008.8 Hpa,40º(NE),3,5/8,,SRI LANKA
114,BATTICALOA,06/01/2013,25.4,27.9,23.0,119.0,1008.9 Hpa,320º(NW),8,8/8,,SRI LANKA
115,KURUNEGALA,06/01/2013,26.1,29.7,22.4,7.7,1008.2 Hpa,22º(N),4,7/8,,SRI LANKA
116,KANDY,06/01/2013,24.4,27.8,20.9,4.0,1009.3 Hpa,71º(E),4,6/8,,SRI LANKA
117,COLOMBO,06/01/2013,27.3,30.6,24.0,0.3,1008.2 Hpa,45º(NE),8,7/8,,SRI LANKA
118,RATMALANA,06/01/2013,27.4,31.0,23.7,0.7,1008.4 Hpa,38º(NE),10,7/8,,SRI LANKA
119,NUWARA ELIYA,06/01/2013,16.1,19.6,12.6,7.6,1484 m(850 Hpa),108º(E),5,7/8,,SRI LANKA
120,POTTUVIL,06/01/2013,26.2,27.8,24.6,-,1009.0 Hpa,320º(NW),5,7/8,,SRI LANKA
121,BANDARAWELA,06/01/2013,18.1,21.5,14.8,9.8,1507 m(850 Hpa),263º(W),6,7/8,,SRI LANKA
122,BADULLA,06/01/2013,20.6,23.7,17.6,2.7,-,90º(E),2,8/8,,SRI LANKA
123,RATNAPURA,06/01/2013,26.4,30.8,22.0,2.4,1008.5 Hpa,26º(NE),1,7/8,,SRI LANKA
124,GALLE,06/01/2013,26.5,29.6,23.4,0.1,1008.8 Hpa,17º(N),4,7/8,,SRI LANKA
125,HAMBANTOTA,06/01/2013,27.4,31.1,23.7,0.5,1007.7 Hpa,18º(N),7,7/8,,SRI LANKA
126,KANKASANTURAI,07/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
127,JAFFNA,07/01/2013,26.4,29.4,23.5,79.3,1010.7 Hpa,-,-,8/8,,SRI LANKA
128,MULLAITTIVU,07/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
129,MANNAR,07/01/2013,26.8,28.1,25.4,22.8,1010.1 Hpa,50º(NE),12,8/8,,SRI LANKA
130,VAVUNIYA,07/01/2013,24.7,26.5,22.9,33.6,1010.1 Hpa,9º(N),2,7/8,,SRI LANKA
131,TRINCOMALEE,07/01/2013,25.9,26.6,25.1,-,-,345º(N),6,8/8,,SRI LANKA
132,ANURADHAPURA,07/01/2013,24.3,25.1,23.5,145.4,1010.3 Hpa,320º(NW),1,8/8,,SRI LANKA
133,MAHA ILLUPPALLAMA,07/01/2013,23.9,24.6,23.3,58.8,1010.1 Hpa,11º(N),2,8/8,,SRI LANKA
134,PUTTALAM,07/01/2013,24.9,26.0,23.9,20.2,1009.6 Hpa,16º(N),1,7/8,,SRI LANKA
135,BATTICALOA,07/01/2013,24.8,26.8,22.8,42.4,1009.1 Hpa,291º(W),2,8/8,,SRI LANKA
136,KURUNEGALA,07/01/2013,23.8,26.5,21.1,65.4,1009.4 Hpa,320º(NW),1,8/8,,SRI LANKA
137,KANDY,07/01/2013,22.4,24.9,20.0,47.0,1010.2 Hpa,31º(NE),1,8/8,,SRI LANKA
138,COLOMBO,07/01/2013,25.9,28.3,23.5,19.3,1009.2 Hpa,37º(NE),3,8/8,,SRI LANKA
139,RATMALANA,07/01/2013,26.3,29.3,23.3,17.7,1009.2 Hpa,50º(NE),12,7/8,,SRI LANKA
140,NUWARA ELIYA,07/01/2013,17.4,20.6,14.3,70.4,1488 m(850 Hpa),82º(E),3,7/8,,SRI LANKA
141,POTTUVIL,07/01/2013,27.6,29.2,26.0,-,1008.7 Hpa,4º(N),6,8/8,,SRI LANKA
142,BANDARAWELA,07/01/2013,18.9,21.5,16.4,73.8,1506 m(850 Hpa),29º(NE),8,7/8,,SRI LANKA
143,BADULLA,07/01/2013,21.1,23.3,18.9,98.3,-,70º(E),0,8/8,,SRI LANKA
144,RATNAPURA,07/01/2013,25.8,29.1,22.4,30.3,1009.2 Hpa,335º(NW),2,7/8,,SRI LANKA
145,GALLE,07/01/2013,26.7,29.0,24.4,19.3,1009.3 Hpa,59º(NE),5,8/8,,SRI LANKA
146,HAMBANTOTA,07/01/2013,26.9,30.1,23.6,23.1,1008.5 Hpa,213º(SW),6,7/8,,SRI LANKA
147,KANKASANTURAI,08/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
148,JAFFNA,08/01/2013,25.1,26.1,24.1,54.7,1011.3 Hpa,-,-,8/8,,SRI LANKA
149,MULLAITTIVU,08/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
150,MANNAR,08/01/2013,24.4,26.1,22.6,76.4,1010.7 Hpa,21º(N),12,8/8,,SRI LANKA
151,VAVUNIYA,08/01/2013,23.8,26.0,21.6,19.0,1011.0 Hpa,50º(NE),1,8/8,,SRI LANKA
152,TRINCOMALEE,08/01/2013,23.8,26.0,21.5,8.1,-,315º(NW),7,7/8,,SRI LANKA
153,ANURADHAPURA,08/01/2013,24.7,27.7,21.7,14.3,1010.8 Hpa,290º(W),0,6/8,,SRI LANKA
154,MAHA ILLUPPALLAMA,08/01/2013,24.8,28.3,21.2,31.0,1010.5 Hpa,332º(NW),4,6/8,,SRI LANKA
155,PUTTALAM,08/01/2013,25.1,28.2,22.0,37.2,1010.4 Hpa,316º(NW),2,7/8,,SRI LANKA
156,BATTICALOA,08/01/2013,26.1,30.5,21.8,0.0,1009.8 Hpa,333º(NW),3,5/8,,SRI LANKA
157,KURUNEGALA,08/01/2013,25.6,30.7,20.5,0.4,1010.0 Hpa,256º(W),2,6/8,,SRI LANKA
158,KANDY,08/01/2013,23.6,27.6,19.6,0.1,1010.9 Hpa,2º(N),2,6/8,,SRI LANKA
159,COLOMBO,08/01/2013,26.4,30.3,22.4,-,1010.4 Hpa,320º(NW),4,6/8,,SRI LANKA
160,RATMALANA,08/01/2013,26.9,31.5,22.4,16.0,1010.1 Hpa,4º(N),10,5/8,,SRI LANKA
161,NUWARA ELIYA,08/01/2013,16.4,20.0,12.8,-,1495 m(850 Hpa),270º(W),0,7/8,,SRI LANKA
162,POTTUVIL,08/01/2013,26.4,30.1,22.7,-,1009.5 Hpa,63º(NE),6,7/8,,SRI LANKA
163,BANDARAWELA,08/01/2013,19.9,23.5,16.2,0.0,1515 m(850 Hpa),50º(NE),4,6/8,,SRI LANKA
164,BADULLA,08/01/2013,22.4,26.9,18.0,0.0,-,83º(E),2,6/8,,SRI LANKA
165,RATNAPURA,08/01/2013,26.9,32.3,21.5,0.0,1010.0 Hpa,317º(NW),2,5/8,,SRI LANKA
166,GALLE,08/01/2013,26.7,29.3,24.1,Tr,1010.9 Hpa,306º(NW),9,5/8,,SRI LANKA
167,HAMBANTOTA,08/01/2013,26.2,29.9,22.5,0.0,1009.6 Hpa,321º(NW),10,5/8,,SRI LANKA
168,KANKASANTURAI,09/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
169,JAFFNA,09/01/2013,23.9,25.4,22.4,12.3,1011.5 Hpa,-,-,8/8,,SRI LANKA
170,MULLAITTIVU,09/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
171,MANNAR,09/01/2013,25.2,26.6,23.9,14.0,1011.2 Hpa,40º(NE),14,7/8,,SRI LANKA
172,VAVUNIYA,09/01/2013,24.2,26.4,22.0,2.5,1011.5 Hpa,2º(N),5,6/8,,SRI LANKA
173,TRINCOMALEE,09/01/2013,24.1,25.8,22.5,9.2,-,328º(NW),8,8/8,,SRI LANKA
174,ANURADHAPURA,09/01/2013,25.4,28.8,22.1,0.2,1011.1 Hpa,302º(NW),3,6/8,,SRI LANKA
175,MAHA ILLUPPALLAMA,09/01/2013,25.4,29.0,21.8,5.3,1011.3 Hpa,360º(N),6,6/8,,SRI LANKA
176,PUTTALAM,09/01/2013,26.5,29.7,23.3,3.8,1010.5 Hpa,2º(N),5,6/8,,SRI LANKA
177,BATTICALOA,09/01/2013,26.4,28.6,24.2,79.9,1010.0 Hpa,318º(NW),13,6/8,,SRI LANKA
178,KURUNEGALA,09/01/2013,26.2,29.9,22.6,9.2,1010.3 Hpa,23º(NE),3,6/8,,SRI LANKA
179,KANDY,09/01/2013,24.2,26.6,21.8,43.8,1010.7 Hpa,9º(N),2,6/8,,SRI LANKA
180,COLOMBO,09/01/2013,27.4,30.1,24.8,Tr,1010.0 Hpa,19º(N),7,5/8,,SRI LANKA
181,RATMALANA,09/01/2013,27.5,31.0,24.0,Tr,1010.2 Hpa,11º(N),14,4/8,,SRI LANKA
182,NUWARA ELIYA,09/01/2013,17.1,21.0,13.3,9.5,1497 m(850 Hpa),180º(S),0,3/8,,SRI LANKA
183,POTTUVIL,09/01/2013,28.4,31.7,25.0,-,1009.7 Hpa,340º(N),3,6/8,,SRI LANKA
184,BANDARAWELA,09/01/2013,20.6,24.8,16.4,7.8,1519 m(850 Hpa),360º(N),8,6/8,,SRI LANKA
185,BADULLA,09/01/2013,22.6,26.2,19.1,14.7,-,63º(NE),3,6/8,,SRI LANKA
186,RATNAPURA,09/01/2013,26.9,30.3,23.5,2.5,1009.9 Hpa,305º(NW),3,6/8,,SRI LANKA
187,GALLE,09/01/2013,27.9,31.3,24.5,0.0,1010.6 Hpa,325º(NW),10,3/8,,SRI LANKA
188,HAMBANTOTA,09/01/2013,27.7,30.8,24.6,9.6,1009.5 Hpa,139º(SE),9,5/8,,SRI LANKA
189,KANKASANTURAI,10/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
190,JAFFNA,10/01/2013,26.6,29.4,23.8,0.0,1012.0 Hpa,-,-,6/8,,SRI LANKA
191,MULLAITTIVU,10/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
192,MANNAR,10/01/2013,26.4,28.6,24.2,0.0,1012.4 Hpa,46º(NE),15,8/8,,SRI LANKA
193,VAVUNIYA,10/01/2013,25.4,27.8,23.1,8.4,1011.3 Hpa,46º(NE),5,7/8,,SRI LANKA
194,TRINCOMALEE,10/01/2013,24.6,26.2,23.0,25.6,-,24º(NE),7,7/8,,SRI LANKA
195,ANURADHAPURA,10/01/2013,25.1,26.3,24.0,15.8,1011.1 Hpa,320º(NW),1,8/8,,SRI LANKA
196,MAHA ILLUPPALLAMA,10/01/2013,24.1,25.6,22.5,34.5,1011.1 Hpa,9º(N),4,8/8,,SRI LANKA
197,PUTTALAM,10/01/2013,25.1,26.1,24.0,8.6,1010.4 Hpa,19º(N),3,7/8,,SRI LANKA
198,BATTICALOA,10/01/2013,25.9,27.4,24.5,48.3,1010.2 Hpa,55º(NE),14,7/8,,SRI LANKA
199,KURUNEGALA,10/01/2013,24.2,24.9,23.5,84.4,1010.3 Hpa,-,0,8/8,,SRI LANKA
200,KANDY,10/01/2013,21.9,22.5,21.2,75.4,1011.0 Hpa,44º(NE),1,8/8,,SRI LANKA
201,COLOMBO,10/01/2013,27.1,29.8,24.5,12.9,1009.6 Hpa,51º(NE),6,8/8,,SRI LANKA
202,RATMALANA,10/01/2013,25.3,26.1,24.5,15.5,1009.9 Hpa,35º(NE),8,8/8,,SRI LANKA
203,NUWARA ELIYA,10/01/2013,15.4,16.7,14.1,48.1,1497 m(850 Hpa),90º(E),3,8/8,,SRI LANKA
204,POTTUVIL,10/01/2013,26.3,27.6,25.0,-,1009.9 Hpa,4º(N),3,7/8,,SRI LANKA
205,BANDARAWELA,10/01/2013,18.9,19.7,18.0,49.5,1518 m(850 Hpa),223º(SW),4,8/8,,SRI LANKA
206,BADULLA,10/01/2013,21.6,22.6,20.5,108.6,-,-,0,8/8,,SRI LANKA
207,RATNAPURA,10/01/2013,24.5,25.5,23.5,10.1,1009.8 Hpa,360º(N),0,7/8,,SRI LANKA
208,GALLE,10/01/2013,27.1,30.2,24.1,0.6,1010.0 Hpa,18º(N),6,5/8,,SRI LANKA
209,HAMBANTOTA,10/01/2013,28.2,31.1,25.3,5.6,1009.3 Hpa,7º(N),5,6/8,,SRI LANKA
210,KANKASANTURAI,11/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
211,JAFFNA,11/01/2013,26.8,29.5,24.1,Tr,1012.5 Hpa,-,-,5/8,,SRI LANKA
212,MULLAITTIVU,11/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
213,MANNAR,11/01/2013,27.4,29.8,25.0,0.0,1012.2 Hpa,50º(NE),15,2/8,,SRI LANKA
214,VAVUNIYA,11/01/2013,26.6,30.2,22.9,0.0,1012.2 Hpa,50º(NE),8,4/8,,SRI LANKA
215,TRINCOMALEE,11/01/2013,26.2,28.6,23.8,0.0,-,42º(NE),7,5/8,,SRI LANKA
216,ANURADHAPURA,11/01/2013,26.8,29.8,23.7,0.0,1012.1 Hpa,295º(NW),2,5/8,,SRI LANKA
217,MAHA ILLUPPALLAMA,11/01/2013,26.0,29.0,23.0,0.0,1011.9 Hpa,73º(E),6,4/8,,SRI LANKA
218,PUTTALAM,11/01/2013,26.8,30.3,23.3,0.0,1011.1 Hpa,43º(NE),7,6/8,,SRI LANKA
219,BATTICALOA,11/01/2013,26.6,28.4,24.8,0.0,1011.7 Hpa,43º(NE),12,6/8,,SRI LANKA
220,KURUNEGALA,11/01/2013,26.4,30.0,22.8,0.0,1010.5 Hpa,27º(NE),7,6/8,,SRI LANKA
221,KANDY,11/01/2013,23.8,26.4,21.1,0.0,1011.6 Hpa,58º(NE),3,5/8,,SRI LANKA
222,COLOMBO,11/01/2013,26.1,28.9,23.2,0.0,1010.5 Hpa,59º(NE),3,6/8,,SRI LANKA
223,RATMALANA,11/01/2013,25.9,28.8,23.1,0.0,1010.3 Hpa,48º(NE),6,5/8,,SRI LANKA
224,NUWARA ELIYA,11/01/2013,15.8,17.6,14.1,0.6,1493 m(850 Hpa),73º(E),6,6/8,,SRI LANKA
225,POTTUVIL,11/01/2013,26.1,27.3,24.8,-,1011.1 Hpa,333º(NW),5,7/8,,SRI LANKA
