,Station,Date,Temp(C),LAT,LON
0,KANKASANTURAI,2013-01-10,-,9.48,80.04
1,JAFFNA,2013-01-10,26.6,9.68,80.03
2,MULLAITTIVU,2013-01-10,-,9.16,80.49
3,MANNAR,2013-01-10,26.4,8.98,79.92
4,VAVUNIYA,2013-01-10,25.4,8.75,80.5
5,TRINCOMALEE,2013-01-10,24.6,8.58,81.25
6,ANURADHAPURA,2013-01-10,25.1,8.35,80.38
7,MAHA ILLUPPALLAMA,2013-01-10,24.1,8.12,80.47
8,PUTTALAM,2013-01-10,25.1,8.03,79.83
9,BATTICALOA,2013-01-10,25.9,7.72,81.7
10,KURUNEGALA,2013-01-10,24.2,7.47,80.37
11,KANDY,2013-01-10,21.9,7.2,80.38
12,COLOMBO,2013-01-10,27.1,6.93,79.85
13,RATMALANA,2013-01-10,25.3,6.82,79.88
14,NUWARA ELIYA,2013-01-10,15.4,6.96,80.76
15,POTTUVIL,2013-01-10,26.3,6.88,81.83
16,BANDARAWELA,2013-01-10,18.9,6.82,80.99
17,BADULLA,2013-01-10,21.6,6.98,81.05
18,RATNAPURA,2013-01-10,24.5,6.68,80.4
19,GALLE,2013-01-10,27.1,6.03,80.22
20,HAMBANTOTA,2013-01-10,28.2,6.12,81.13
