stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,8.2,20131215,01KG0329,20131215
01RT196A,KALAWANA MINI HYDRO,13.2,20131215,01RT196A,20131215
01PU313A,MARAWILA,9.2,20131215,01PU313A,20131215
01KG175A,IBBAGAMUWA,13.2,20131215,01KG175A,20131215
01KG0326,MEDIYAWA TANK,4.9,20131215,01KG0326,20131215
01PL0340,MINNERIYA TANK,0.0,20131215,01PL0340,20131215
01PL224A,KAUDULLA WEWA,11.0,20131215,01PL224A,20131215
01MU357A,MUTU IYANKADDU,0.0,20131215,01MU357A,20131215
01AM0459,SAGAMAM TANK,0.0,20131215,01AM0459,20131215
01JF0425,POINT PEDRO,0.0,20131215,01JF0425,20131215
01KE0544,WEWELTALAWA ESTATE,28.4,20131215,01KE0544,20131215
01CB0268,LABUGAMA TANK,32.4,20131215,01CB0268,20131215
01PL538C,WELIKANDA SINGHAPURA,0.0,20131215,01PL538C,20131215
01AN104A,EHETUGASWEWA,0.0,20131215,01AN104A,20131215
01KT0200,KALUTARA-P.W.D.,9.6,20131215,01KT0200,20131215
01AM0012,AMPARAI TANK,0.0,20131215,01AM0012,20131215
01KG0532,WARIYAPOLA EXPTL.STATION,31.0,20131215,01KG0532,20131215
01MG540A,WELLAWAYA,34.9,20131215,01MG540A,20131215
01GL0030,BADDEGAMA ESTATE,13.7,20131215,01GL0030,20131215
01KG407A,PANNALA VIRIDIYAWA EST,1.5,20131215,01KG407A,20131215
01MU0216,KANNUKKENI TANK,0.0,20131215,01MU0216,20131215
01KG469A,SIYAMBALANGAMUWA,0.0,20131215,01KG469A,20131215
01KI0183,IRANAMADU TANK,0.0,20131215,01KI0183,20131215
01AM001E,ADDALACHENAI,2.0,20131215,01AM001E,20131215
01GM0011,AMBEPUSSA GOVT FARM,3.6,20131215,01GM0011,20131215
01GL0267,LABUDUWA,45.0,20131215,01GL0267,20131215
01RT042C,BELIHULOYA,14.9,20131215,01RT042C,20131215
01PU0065,CHILAW-P.W.D,45.9,20131215,01PU0065,20131215
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20131215,01AN193A,20131215
01CB0025,AVISSAWELLA ESTATE,3.3,20131215,01CB0025,20131215
01GM0373,NEGOMBO,10.0,20131215,01GM0373,20131215
01RT0435,PUSSELLA S.P.,41.8,20131215,01RT0435,20131215
01NE506B,UDARADELLA,16.8,20131215,01NE506B,20131215
01AM368B,NAVATKIRI ARU TANK,31.0,20131215,01AM368B,20131215
01RT0032,BALANGODA POST OFFICE,8.0,20131215,01RT0032,20131215
01AM493B,THIRUKKOVIL,0.0,20131215,01AM493B,20131215
01BT0357,MYLAMBAVELLY ESTATE,0.0,20131215,01BT0357,20131215
01KE009B,AMBANPITIYA ESTATE,0.0,20131215,01KE009B,20131215
01HT481A,SURIYAWEWA,10.3,20131215,01HT481A,20131215
01MT0232,KEKENADURA (MATARA),0.0,20131215,01MT0232,20131215
01KT400C,PALLEGODA ESTATE,0.0,20131215,01KT400C,20131215
01KG014A,ANDIGAMA FARM,11.5,20131215,01KG014A,20131215
01CB166A,HOMAGAMA,6.3,20131215,01CB166A,20131215
01GM487B,THAMMITA,7.9,20131215,01GM487B,20131215
01NE0236,KENILWORTH (STRATHELLIE),3.0,20131215,01NE0236,20131215
01KG258D,KULIYAPITIYA,0.0,20131215,01KG258D,20131215
01CB469B,COLOMBO PORT,5.7,20131215,01CB469B,20131215
01KG404A,PANDUWASNUWARA,0.0,20131215,01KG404A,20131215
