stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,0.0,20131206,01KG0329,20131206
01RT196A,KALAWANA MINI HYDRO,0.0,20131206,01RT196A,20131206
01PU313A,MARAWILA,0.0,20131206,01PU313A,20131206
01KG175A,IBBAGAMUWA,5.2,20131206,01KG175A,20131206
01KG0326,MEDIYAWA TANK,0.0,20131206,01KG0326,20131206
01PL0340,MINNERIYA TANK,0.0,20131206,01PL0340,20131206
01PL224A,KAUDULLA WEWA,0.0,20131206,01PL224A,20131206
01MU357A,MUTU IYANKADDU,24.0,20131206,01MU357A,20131206
01AM0459,SAGAMAM TANK,23.0,20131206,01AM0459,20131206
01JF0425,POINT PEDRO,0.0,20131206,01JF0425,20131206
01KE0544,WEWELTALAWA ESTATE,2.1,20131206,01KE0544,20131206
01CB0268,LABUGAMA TANK,0.0,20131206,01CB0268,20131206
01PL538C,WELIKANDA SINGHAPURA,19.0,20131206,01PL538C,20131206
01AN104A,EHETUGASWEWA,16.3,20131206,01AN104A,20131206
01KT0200,KALUTARA-P.W.D.,0.0,20131206,01KT0200,20131206
01AM0012,AMPARAI TANK,0.0,20131206,01AM0012,20131206
01KG0532,WARIYAPOLA EXPTL.STATION,0.0,20131206,01KG0532,20131206
01MG540A,WELLAWAYA,0.0,20131206,01MG540A,20131206
01GL0030,BADDEGAMA ESTATE,0.0,20131206,01GL0030,20131206
01KG407A,PANNALA VIRIDIYAWA EST,0.0,20131206,01KG407A,20131206
01MU0216,KANNUKKENI TANK,43.0,20131206,01MU0216,20131206
01KG469A,SIYAMBALANGAMUWA,0.0,20131206,01KG469A,20131206
01KI0183,IRANAMADU TANK,32.5,20131206,01KI0183,20131206
01AM001E,ADDALACHENAI,37.0,20131206,01AM001E,20131206
01GM0011,AMBEPUSSA GOVT FARM,0.0,20131206,01GM0011,20131206
01GL0267,LABUDUWA,0.0,20131206,01GL0267,20131206
01RT042C,BELIHULOYA,0.0,20131206,01RT042C,20131206
01PU0065,CHILAW-P.W.D,9.5,20131206,01PU0065,20131206
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20131206,01AN193A,20131206
01CB0025,AVISSAWELLA ESTATE,0.0,20131206,01CB0025,20131206
01GM0373,NEGOMBO,0.0,20131206,01GM0373,20131206
01RT0435,PUSSELLA S.P.,0.0,20131206,01RT0435,20131206
01NE506B,UDARADELLA,22.5,20131206,01NE506B,20131206
01AM368B,NAVATKIRI ARU TANK,35.6,20131206,01AM368B,20131206
01RT0032,BALANGODA POST OFFICE,0.0,20131206,01RT0032,20131206
01AM493B,THIRUKKOVIL,18.0,20131206,01AM493B,20131206
01BT0357,MYLAMBAVELLY ESTATE,0.0,20131206,01BT0357,20131206
01KE009B,AMBANPITIYA ESTATE,0.0,20131206,01KE009B,20131206
01HT481A,SURIYAWEWA,0.0,20131206,01HT481A,20131206
01MT0232,KEKENADURA (MATARA),0.0,20131206,01MT0232,20131206
01KT400C,PALLEGODA ESTATE,0.0,20131206,01KT400C,20131206
01KG014A,ANDIGAMA FARM,0.0,20131206,01KG014A,20131206
01CB166A,HOMAGAMA,0.0,20131206,01CB166A,20131206
01GM487B,THAMMITA,0.0,20131206,01GM487B,20131206
01NE0236,KENILWORTH (STRATHELLIE),5.0,20131206,01NE0236,20131206
01KG258D,KULIYAPITIYA,0.0,20131206,01KG258D,20131206
01CB469B,COLOMBO PORT,0.0,20131206,01CB469B,20131206
01KG404A,PANDUWASNUWARA,0.0,20131206,01KG404A,20131206
01CB0080,DEHIWALA ZOO,0.0,20131206,01CB0080,20131206
01KY0418,PERADENIYA BOT.GARDENS,5.8,20131206,01KY0418,20131206
01KG0452,RIDIBENDI ELA,0.0,20131206,01KG0452,20131206
01CB0026,AVISSAWELLA HOSPITAL,0.0,20131206,01CB0026,20131206
01GM0528,WALPITA,0.0,20131206,01GM0528,20131206
01CB0016,ANGODA MENTAL HOSPITAL,0.0,20131206,01CB0016,20131206
01JF062A,CHAVAKACHCHERI,13.6,20131206,01JF062A,20131206
01KG0256,KOULWEWA,0.0,20131206,01KG0256,20131206
01PL020A,ARALAGANWILA,1.2,20131206,01PL020A,20131206
01KT513A,USK VALLEY S.P.,0.0,20131206,01KT513A,20131206
01MG141B,HANDAPANGALA,2.4,20131206,01MG141B,20131206
01KG0253,HAKWATUNA-OYA,0.0,20131206,01KG0253,20131206
01HT0292,MAHA LEWAYA (HAMBANTOTA),0.0,20131206,01HT0292,20131206
43PPP,POLONNARUWA,0.8,20131206,43PPP,20131206
01PU0013,ANAMADUWA DISPENSARY,0.0,20131206,01PU0013,20131206
01VA414A,PAVATKULAM,0.0,20131206,01VA414A,20131206
01KE0021,ARANAYAKE GOVT. HOSPITAL,6.5,20131206,01KE0021,20131206
01ML324A,MEDAPIHILLA,0.0,20131206,01ML324A,20131206
01NE0153,HATTON KOTAGALA ROSITA,0.5,20131206,01NE0153,20131206
01KG092B,DODANGASLANDA,1.0,20131206,01KG092B,20131206
01VA0518,VAVUNIYA P.W.D.,0.0,20131206,01VA0518,20131206
01AM459A,SAMANTHURAI,34.0,20131206,01AM459A,20131206
01RT539B,WELLANDURA TEA FACTORY,0.0,20131206,01RT539B,20131206
01KT021A,ARAMANAGOLLA,0.0,20131206,01KT021A,20131206
01AM257A,KUDASIGIRIYA,0.0,20131206,01AM257A,20131206
43418,TRINCOMALEE,32.2,20131206,43418,20131206
43421,ANURADHAPURA,0.0,20131206,43421,20131206
43413,MANNAR,0.0,20131206,43413,20131206
43467,RATMALANA,0.2,20131206,43467,20131206
43424,PUTTALAM,0.0,20131206,43424,20131206
43999,POTTUVIL,0.0,20131206,43999,20131206
43404,JAFFNA,0.0,20131206,43404,20131206
43441,KURUNEGALA,0.2,20131206,43441,20131206
43436,BATTICALOA,0.9,20131206,43436,20131206
43444,KATUGASTOTA,1.9,20131206,43444,20131206
143476,BANDARAWELA,0.0,20131206,143476,20131206
