LOCATION_ID,LATITUDE,LONGITUDE
1610,5.9336952944,80.596243648
1846,5.9426784064,80.461496968
1851,5.9426784064,80.506412528
1853,5.9426784064,80.524378752
1856,5.9426784064,80.551328088
1857,5.9426784064,80.5603112
2103,5.9516615184,80.51539564
2105,5.9516615184,80.533361864
2106,5.9516615184,80.542344976
2107,5.9516615184,80.551328088
2114,5.9516615184,80.614209872
2342,5.9606446304,80.407598296
2347,5.9606446304,80.452513856
2351,5.9606446304,80.488446304
2354,5.9606446304,80.51539564
2357,5.9606446304,80.542344976
2372,5.9606446304,80.677091656
2374,5.9606446304,80.69505788
2591,5.9696277424,80.389632072
2595,5.9696277424,80.42556452
2605,5.9696277424,80.51539564
2611,5.9696277424,80.569294312
2615,5.9696277424,80.60522676
2620,5.9696277424,80.65014232
2627,5.9696277424,80.713024104
2839,5.9786108544,80.362682736
2847,5.9786108544,80.434547632
3086,5.9875939664,80.326750288
3094,5.9875939664,80.398615184
3100,5.9875939664,80.452513856
3124,5.9875939664,80.668108544
3128,5.9875939664,80.704040992
3334,5.9965770784,80.299800952
3337,5.9965770784,80.326750288
3375,5.9965770784,80.668108544
3614,6.0055601904,80.5603112
3619,6.0055601904,80.60522676
3632,6.0055601904,80.722007216
3635,6.0055601904,80.748956552
3830,6.0145433024,80.24590228
3831,6.0145433024,80.254885392
3833,6.0145433024,80.272851616
3837,6.0145433024,80.308784064
3845,6.0145433024,80.38064896
3856,6.0145433024,80.479463192
3860,6.0145433024,80.51539564
3865,6.0145433024,80.5603112
4078,6.0235264144,80.218952944
4081,6.0235264144,80.24590228
4137,6.0235264144,80.748956552
4141,6.0235264144,80.784889
4142,6.0235264144,80.793872112
4328,6.0325095264,80.209969832
4329,6.0325095264,80.218952944
4341,6.0325095264,80.326750288
4345,6.0325095264,80.362682736
4348,6.0325095264,80.389632072
4354,6.0325095264,80.443530744
4372,6.0325095264,80.60522676
4577,6.0414926384,80.192003608
4578,6.0414926384,80.20098672
4580,6.0414926384,80.218952944
4582,6.0414926384,80.236919168
4605,6.0414926384,80.443530744
4608,6.0414926384,80.47048008
4631,6.0414926384,80.677091656
4636,6.0414926384,80.722007216
4637,6.0414926384,80.730990328
4829,6.0504757504,80.20098672
4830,6.0504757504,80.209969832
4831,6.0504757504,80.218952944
4834,6.0504757504,80.24590228
4837,6.0504757504,80.272851616
4852,6.0504757504,80.407598296
4863,6.0504757504,80.506412528
4868,6.0504757504,80.551328088
4890,6.0504757504,80.748956552
4891,6.0504757504,80.757939664
5078,6.0594588624,80.183020496
5081,6.0594588624,80.209969832
5084,6.0594588624,80.236919168
5127,6.0594588624,80.623192984
5153,6.0594588624,80.856753896
5327,6.0684419744,80.165054272
5329,6.0684419744,80.183020496
5333,6.0684419744,80.218952944
5334,6.0684419744,80.227936056
5339,6.0684419744,80.272851616
5369,6.0684419744,80.542344976
5402,6.0684419744,80.838787672
5410,6.0684419744,80.910652568
5577,6.0774250864,80.15607116
5581,6.0774250864,80.192003608
5592,6.0774250864,80.29081784
5612,6.0774250864,80.47048008
5623,6.0774250864,80.569294312
5876,6.0864081984,80.587260536
5893,6.0864081984,80.73997344
5898,6.0864081984,80.784889
6078,6.0953913104,80.147088048
6118,6.0953913104,80.506412528
6136,6.0953913104,80.668108544
6158,6.0953913104,80.865737008
6159,6.0953913104,80.87472012
6333,6.1043744224,80.183020496
6353,6.1043744224,80.362682736
6365,6.1043744224,80.47048008
6366,6.1043744224,80.479463192
6414,6.1043744224,80.910652568
6588,6.1133575344,80.218952944
6609,6.1133575344,80.407598296
6635,6.1133575344,80.641159208
6668,6.1133575344,80.937601904
6841,6.1223406464,80.236919168
6849,6.1223406464,80.308784064
6896,6.1223406464,80.730990328
6924,6.1223406464,80.982517464
6928,6.1223406464,81.018449912
6935,6.1223406464,81.081331696
6939,6.1223406464,81.117264144
7077,6.1313237584,80.102172488
7078,6.1313237584,80.1111556
7085,6.1313237584,80.174037384
7088,6.1313237584,80.20098672
7113,6.1313237584,80.42556452
7114,6.1313237584,80.434547632
7129,6.1313237584,80.569294312
7133,6.1313237584,80.60522676
7165,6.1313237584,80.892686344
7192,6.1313237584,81.135230368
7354,6.1403068704,80.3357334
7375,6.1403068704,80.524378752
7379,6.1403068704,80.5603112
7401,6.1403068704,80.757939664
7410,6.1403068704,80.838787672
7436,6.1403068704,81.072348584
7584,6.1492899824,80.147088048
7646,6.1492899824,80.704040992
7849,6.1582730944,80.272851616
7871,6.1582730944,80.47048008
7927,6.1582730944,80.973534352
7948,6.1582730944,81.162179704
8080,6.1672562064,80.093189376
8170,6.1672562064,80.901669456
8182,6.1672562064,81.0094668
8195,6.1672562064,81.126247256
8342,6.1762393184,80.192003608
8582,6.1852224304,80.093189376
8602,6.1852224304,80.272851616
8609,6.1852224304,80.3357334
8638,6.1852224304,80.596243648
8656,6.1852224304,80.757939664
8830,6.1942055424,80.06624004
8839,6.1942055424,80.147088048
8876,6.1942055424,80.479463192
8897,6.1942055424,80.668108544
8912,6.1942055424,80.802855224
8918,6.1942055424,80.856753896
