moh_id,moh,count
219,Udunuwara,3
94,Uduvil,1
52,Uhana,0
316,Ukuwela,0
214,Uppuveli,1
117,Uva-Provincial Council,1
83,Vakarai,0
81,Valaichcheni,1
150,Vaunathivu,1
273,Vavuniya,2
196,Vavuniya(N,0
176,Vavuniya(S,0
114,Velanai,1
135,Vellaveli,0
30,Walallavita,0
321,Walapone,0
191,Walasmulla,2
211,Warakapola,1
75,Wariyapola,3
24,Wattala,8
227,Wattegama(,2
305,Weeraketiya,0
74,Weerambugedara,6
198,Weligama,2
304,Weligepola,0
34,Welimada,3
166,Welipitiya,1
178,Wellawaya,2
193,Wennappuwa,5
86,Wilgamuwa,1
78,Yakkalamulla,0
27,Yatawatta,2
220,Yatinuwara,8
266,Yatiyantot,0
