,cell,resident,work,LATITUDE,LONGITUDE,Date
84,5329,840.0,114,6.068441974400001,80.183020496,2013-01-01
85,5333,4104.0,831,6.068441974400001,80.218952944,2013-01-01
86,5334,10927.0,3717,6.068441974400001,80.227936056,2013-01-01
87,5339,149.0,86,6.068441974400001,80.272851616,2013-01-01
88,5369,4248.0,907,6.068441974400001,80.54234497600001,2013-01-01
89,5402,1155.0,244,6.068441974400001,80.838787672,2013-01-01
90,5410,67.0,27,6.068441974400001,80.910652568,2013-01-01
91,5577,2169.0,508,6.0774250864,80.15607116,2013-01-01
92,5581,4403.0,727,6.0774250864,80.19200360800001,2013-01-01
93,5592,5292.0,659,6.0774250864,80.29081784,2013-01-01
94,5612,2534.0,422,6.0774250864,80.47048008,2013-01-01
95,5623,721.0,588,6.0774250864,80.569294312,2013-01-01
96,5876,1907.0,294,6.0864081984,80.587260536,2013-01-01
97,5893,3081.0,362,6.0864081984,80.73997344,2013-01-01
98,5898,1741.0,199,6.0864081984,80.784889,2013-01-01
99,6078,9839.0,1088,6.095391310399999,80.147088048,2013-01-01
100,6118,2343.0,357,6.095391310399999,80.506412528,2013-01-01
101,6136,4765.0,833,6.095391310399999,80.66810854399999,2013-01-01
102,6158,,2,6.095391310399999,80.865737008,2013-01-01
103,6159,1816.0,714,6.095391310399999,80.87472012,2013-01-01
104,6333,3474.0,518,6.1043744224,80.183020496,2013-01-01
105,6353,7376.0,1055,6.1043744224,80.36268273600001,2013-01-01
106,6365,7544.0,2509,6.1043744224,80.47048008,2013-01-01
107,6366,445.0,199,6.1043744224,80.479463192,2013-01-01
108,6414,1253.0,250,6.1043744224,80.910652568,2013-01-01
109,6588,3068.0,494,6.1133575344,80.218952944,2013-01-01
110,6609,295.0,76,6.1133575344,80.407598296,2013-01-01
111,6635,3014.0,356,6.1133575344,80.641159208,2013-01-01
112,6668,867.0,172,6.1133575344,80.93760190399999,2013-01-01
113,6841,9502.0,1261,6.1223406464,80.236919168,2013-01-01
114,6849,3466.0,510,6.1223406464,80.308784064,2013-01-01
115,6896,1046.0,168,6.1223406464,80.730990328,2013-01-01
116,6924,1573.0,192,6.1223406464,80.982517464,2013-01-01
117,6928,5819.0,1393,6.1223406464,81.018449912,2013-01-01
118,6935,1891.0,753,6.1223406464,81.081331696,2013-01-01
119,6939,4957.0,1353,6.1223406464,81.11726414399999,2013-01-01
120,7077,8034.0,1893,6.131323758400001,80.10217248800001,2013-01-01
121,7078,1076.0,321,6.131323758400001,80.1111556,2013-01-01
122,7085,1604.0,233,6.131323758400001,80.174037384,2013-01-01
123,7088,4202.0,949,6.131323758400001,80.20098672,2013-01-01
124,7113,6195.0,580,6.131323758400001,80.42556452,2013-01-01
125,7114,165.0,19,6.131323758400001,80.434547632,2013-01-01
126,7129,116.0,20,6.131323758400001,80.569294312,2013-01-01
127,7133,3223.0,477,6.131323758400001,80.60522676,2013-01-01
128,7165,1271.0,181,6.131323758400001,80.892686344,2013-01-01
129,7192,24.0,6,6.131323758400001,81.135230368,2013-01-01
130,7354,2636.0,441,6.1403068704,80.33573340000001,2013-01-01
131,7375,3382.0,459,6.1403068704,80.524378752,2013-01-01
132,7379,1360.0,298,6.1403068704,80.5603112,2013-01-01
133,7401,4126.0,1219,6.1403068704,80.75793966399999,2013-01-01
134,7410,2582.0,273,6.1403068704,80.838787672,2013-01-01
135,7436,1810.0,586,6.1403068704,81.072348584,2013-01-01
136,7584,10342.0,1681,6.1492899824,80.147088048,2013-01-01
137,7646,8995.0,1476,6.1492899824,80.704040992,2013-01-01
138,7849,3435.0,404,6.1582730944,80.272851616,2013-01-01
139,7871,4118.0,594,6.1582730944,80.47048008,2013-01-01
140,7927,1275.0,180,6.1582730944,80.973534352,2013-01-01
141,7948,1694.0,304,6.1582730944,81.162179704,2013-01-01
142,8080,3553.0,386,6.1672562064,80.093189376,2013-01-01
