stationID,stationName,observedValue,dtg,spatialGranule,temporalGranule
01KG0329,MELLAWA ESTATE,45.2,20130110,01KG0329,20130110
01BD0545,WEWESSA ESTATE,148.5,20130110,01BD0545,20130110
01RT196A,KALAWANA MINI HYDRO,7.6,20130110,01RT196A,20130110
01PU313A,MARAWILA,43.5,20130110,01PU313A,20130110
01KG175A,IBBAGAMUWA,64.2,20130110,01KG175A,20130110
01KG0326,MEDIYAWA TANK,41.6,20130110,01KG0326,20130110
01PL0340,MINNERIYA TANK,31.0,20130110,01PL0340,20130110
01PL224A,KAUDULLA WEWA,13.5,20130110,01PL224A,20130110
01MU357A,MUTU IYANKADDU,0.0,20130110,01MU357A,20130110
01AM0459,SAGAMAM TANK,21.6,20130110,01AM0459,20130110
01JF0425,POINT PEDRO,4.0,20130110,01JF0425,20130110
01KE0544,WEWELTALAWA ESTATE,30.2,20130110,01KE0544,20130110
01CB0268,LABUGAMA TANK,18.2,20130110,01CB0268,20130110
01PL538C,WELIKANDA SINGHAPURA,12.1,20130110,01PL538C,20130110
01AN104A,EHETUGASWEWA,0.0,20130110,01AN104A,20130110
01KT0200,KALUTARA-P.W.D.,3.0,20130110,01KT0200,20130110
01AM0012,AMPARAI TANK,109.2,20130110,01AM0012,20130110
01KG0532,WARIYAPOLA EXPTL.STATION,10.5,20130110,01KG0532,20130110
01MG540A,WELLAWAYA,72.0,20130110,01MG540A,20130110
01GL0030,BADDEGAMA ESTATE,0.0,20130110,01GL0030,20130110
01KG407A,PANNALA VIRIDIYAWA EST,37.7,20130110,01KG407A,20130110
01MU0216,KANNUKKENI TANK,0.0,20130110,01MU0216,20130110
01KG469A,SIYAMBALANGAMUWA,10.1,20130110,01KG469A,20130110
01KI0183,IRANAMADU TANK,18.3,20130110,01KI0183,20130110
01AM001E,ADDALACHENAI,49.5,20130110,01AM001E,20130110
01GM0011,AMBEPUSSA GOVT FARM,26.2,20130110,01GM0011,20130110
01GL0267,LABUDUWA,1.0,20130110,01GL0267,20130110
01RT042C,BELIHULOYA,21.9,20130110,01RT042C,20130110
01AN193A,KAHATAGASDIGILIYA  W/S,0.0,20130110,01AN193A,20130110
01CB0025,AVISSAWELLA ESTATE,0.0,20130110,01CB0025,20130110
01CB0150,HANWELLA GROUP,17.5,20130110,01CB0150,20130110
01GM0373,NEGOMBO,13.2,20130110,01GM0373,20130110
01RT0435,PUSSELLA S.P.,14.9,20130110,01RT0435,20130110
01BT197B,KALKUDAH,38.0,20130110,01BT197B,20130110
01NE506B,UDARADELLA,69.0,20130110,01NE506B,20130110
01AM368B,NAVATKIRI ARU TANK,15.0,20130110,01AM368B,20130110
01RT0032,BALANGODA POST OFFICE,0.0,20130110,01RT0032,20130110
01AM493B,THIRUKKOVIL,36.0,20130110,01AM493B,20130110
01BT0357,MYLAMBAVELLY ESTATE,205.3,20130110,01BT0357,20130110
01KE009B,AMBANPITIYA ESTATE,24.5,20130110,01KE009B,20130110
01HT481A,SURIYAWEWA,3.8,20130110,01HT481A,20130110
01MT0232,KEKENADURA (MATARA),9.7,20130110,01MT0232,20130110
01KT400C,PALLEGODA ESTATE,5.0,20130110,01KT400C,20130110
01KG014A,ANDIGAMA FARM,38.0,20130110,01KG014A,20130110
01CB166A,HOMAGAMA,9.8,20130110,01CB166A,20130110
01GM487B,THAMMITA,19.2,20130110,01GM487B,20130110
